entity_code,EAD,booking_date,internal_comment,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,avg_pd
A-W20E3T,26938874.397447303,2025-05-07,legacy,Company_A_38,Industry A,Asia,0.5677193578394526,0.0071667077953435,Mid,manual review,legacy,67,0.0
A-ZL3UTG,31154443.006722443,2025-05-14,review,Company_A_15,Industry A,Asia,0.4557703606171095,0.0173525364546809,Mid,,satellite,66,0.05
A-H8WKWS,36314076.04037352,2025-03-05,,Company_A_22,Industry A,South America,0.3976169843656488,0.0222303610074104,Small,stable,satellite,49,0.0
A-5CRVMF,14540527.40955621,2025-03-05,,Company_A_33,Industry A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,0.0
A-89F6D0,8875349.051019402,2025-03-26,new,Company_A_23,Industry A,South America,0.4405089339112094,0.0214291306980127,Small,,core,79,0.05
A-SE4QSN,38461633.08329202,2025-06-18,check formatting,Company_A_02,Industry A,Europe,0.4552824558048973,0.0256362060348401,Mid,,satellite,30,0.0
A-7Y1UPH,10404808.080774983,2025-05-07,,Company_A_27,Industry A,South America,0.523272203388481,0.0133680364113021,Small,,satellite,21,0.0
A-2NTLLF,11918344.378912384,2025-05-21,check formatting,Company_A_47,Industry A,South America,0.5299859397528236,0.0147073195901079,,watchlist,core,75,0.05
A-0E88G2,15196530.8745463,2025-09-24,review,Company_A_43,Industry A,Asia,0.5010027048718158,0.0165053478571062,Large,manual review,core,32,0.0
A-GT87M2,23528697.39092006,2025-03-26,,Company_A_48,Industry A,North America,0.470622107984787,0.0266448029521849,Mid,stable,,95,0.0
A-YDGV2G,35898894.811192736,2025-12-03,review,Company_A_17,Industry A,Asia,0.4188152157475385,0.0131165692622184,Mid,,satellite,12,0.0
A-C36F0G,31619110.795545343,2025-10-01,check formatting,Company_A_25,Industry A,Asia,0.361436345436521,0.0155263649052208,Large,manual review,satellite,97,0.05
A-UQSUBF,29785514.38449223,2025-03-05,check formatting,Company_A_08,Industry A,europe,0.3807335107445405,0.0248413917729574,Mid,watchlist,core,78,0.0
A-RX0P71,11131319.874960128,2025-04-23,check formatting,Company_A_46,Industry A,Europe,0.5354777244791231,0.0211643901006858,Large,manual review,legacy,34,0.0
A-Y21HNQ,21744172.413033728,2025-04-09,,Company_A_04,Industry A,Asia,0.483018608927679,0.0221541050150394,Mid,watchlist,satellite,97,0.0
A-VZS47E,10159908.371995503,2025-05-14,legacy,Company_A_42,Industry A,South America,0.5100695190985008,0.029103230788234,Small,manual review,legacy,94,0.1
A-FVDXWD,15791662.138349548,2025-01-01,,Company_A_16,Industry A,SouthAmerica,0.4675997347177412,0.0267959378762021,Small,stable,legacy,23,0.0
A-W69IIB,9454666.941516371,2025-06-11,new,Company_A_21,Industry A,Europe,0.6202775785948131,,Large,manual review,,38,0.0
A-ZVBDSW,24258389.21678901,2025-09-17,,Company_A_44,Industry A,Europe,0.5424249628885357,0.0230438073611222,Mid,watchlist,legacy,57,0.0
A-IJCFPR,29675986.878346752,2025-04-23,new,Company_A_39,Industry A,Europe,0.5881880171331348,0.0123306929754193,Mid,stable,legacy,39,0.0
A-0172SR,7447607.101690142,2025-11-12,review,Company_A_45,Industry A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0
A-PNGYIK,21839308.56171024,2025-05-14,review,Company_A_40,Industry A,South America,0.4966124193590165,0.0286615580270497,Small,,satellite,58,0.0
A-9XOOP3,32377391.834372822,2025-11-26,review,Company_A_11,Industry A,Asia,0.4209556922747943,0.0180913105300083,Mid,watchlist,legacy,51,0.05
A-03PK8Q,31179654.51333564,2025-03-26,review,Company_A_50,Industry A,Asia,0.4851709284813595,0.0226209392140638,Large,stable,legacy,19,0.047619047619047616
A-RSPF7A,33527558.367656395,2025-07-16,review,Company_A_26,Industry A,Europe,0.4572467925521397,0.0232196939663842,Small,watchlist,satellite,55,0.05
A-FKUFQE,20688422.160971247,2025-10-08,,Company_A_34,Industry A,NorthAmerica,0.4286890007992836,0.0211608494481312,Small,watchlist,satellite,63,0.0
A-O7YD44,33719497.892395124,2025-01-22,review,Company_A_37,Industry A,South America,0.3611655452468417,0.0176423759627502,Large,,legacy,67,0.1
A-DT5C43,13426357.492499432,2025-12-10,review,Company_A_03,Industry A,Asia,0.4352110109163791,0.0165953522779802,Large,manual review,satellite,90,0.0
B-CUJ2V2,32401684.59601034,2025-10-22,review,Company_B_38,Industry B,North America,0.5625085201248153,0.0437620750599563,Mid,stable,satellite,83,0.0
B-FVUAOK,12382703.597104952,2025-04-02,review,Company_B_24,Industry B,Europe,0.5189843392837443,0.0248162426031954,Mid,manual review,,52,0.05
B-WMAEKB,37108845.62431498,2025-10-15,,Company_B_27,Industry B,North America,0.4479411587144589,0.0406882090142755,,,satellite,98,0.05
B-0T5M74,34784899.20182575,2025-10-01,check formatting,Company_B_21,Industry B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,0.10526315789473684
B-O2NB6I,34693326.39213783,2025-04-16,new,Company_B_30,Industry B,Europe,0.4559347578430257,0.0352247537177965,Mid,manual review,satellite,70,0.0
B-5BIIQF,12968140.137972496,2025-09-03,legacy,Company_B_02,Industry B,South America,0.470622107984787,,Mid,,,13,0.1
B-KVE4NM,6768759.60275202,2025-04-02,review,Company_B_22,Industry B,North America,0.448622896022981,0.0287784188073835,Mid,stable,,92,0.10526315789473684
B-CKUMRG,35359823.88189043,2025-07-09,,Company_B_14,Industry B,NorthAmerica,0.3168593915784876,0.0326507484231694,Large,stable,legacy,87,0.1
B-MHTAKQ,15703008.00584986,2025-10-22,,Company_B_35,Industry B,South America,0.6212518836831601,0.0327334580699937,,manual review,,77,0.05
B-9KROIO,26662073.341073405,2025-03-05,legacy,Company_B_42,Industry B,,0.5701663648089567,0.0277544532017155,Small,watchlist,core,55,0.05
B-6KZVQO,31598840.929525554,2025-04-30,,Company_B_32,Industry B,Europe,0.4810076158977743,0.027206283706547,Small,stable,legacy,40,0.15
B-4Z0VCO,9490264.047889208,2025-10-22,check formatting,Company_B_34,Industry B,Asia,0.6847825012956046,0.0337807908633653,Mid,,core,16,0.0
B-JI444W,32329342.40816668,2025-06-18,review,Company_B_20,Industry B,North America,0.4746622431051985,0.0338857059003395,Small,manual review,legacy,42,0.0
B-MUVZTX,30493123.80112432,2025-01-01,,Company_B_11,Industry B,North America,0.5619171116975393,0.0326251906128119,Mid,manual review,core,48,0.0
B-SQ4OLC,35683734.8563096,2025-10-29,legacy,Company_B_18,Industry B,South America,0.5258228823322695,0.0459530261516893,Small,,satellite,26,0.0
B-TB1OZ6,23461017.052539565,2025-12-03,,Company_B_31,Industry B,North America,0.3959413947487566,0.0181105376834935,,manual review,,86,0.0
B-JRBLOP,31066982.473586395,2025-02-26,legacy,Company_B_43,Industry B,North America,0.397771971835267,0.0343267474415366,Mid,,legacy,31,0.0
B-CWABH5,33717708.035051145,2025-12-31,legacy,Company_B_06,Industry B,Asia,0.5928296991568485,0.0307649950103388,Small,manual review,satellite,98,0.05
B-WWOGAM,31227350.15946521,2025-05-21,legacy,Company_B_23,Industry B,Asia,0.4840351692577983,0.030429586987347,,watchlist,satellite,37,0.05
B-VQT2JW,15074920.661685389,2025-05-07,,Company_B_07,Industry B,South America,0.5361921853928844,0.0442446315886971,Mid,manual review,satellite,62,0.05263157894736842
B-TWSM8S,9124536.531704089,2025-05-07,legacy,Company_B_12,Industry B,South America,0.5091520178173208,0.0390654396673085,Mid,manual review,legacy,56,0.05263157894736842
B-QF6194,13341848.527672105,2025-08-20,,Company_B_47,Industry B,Asia,0.470622107984787,0.0278945246598982,Mid,stable,,98,0.09523809523809523
B-HVWXAK,22600622.79431236,2025-08-27,,Company_B_37,Industry B,South America,0.5835807896314338,0.037445454357923,Large,watchlist,core,35,0.1
B-JS2LBB,22684692.280258358,2025-06-25,check formatting,Company_B_41,Industry B,South America,0.4943045458786471,0.0423442153500894,Mid,watchlist,satellite,28,0.05
B-Y6J2QG,25392552.226008814,2025-01-22,check formatting,Company_B_39,Industry B,europe,0.6498374440296733,0.0317881165479549,Large,manual review,,56,0.0
B-3C5B0M,18828564.31417618,2025-12-31,,Company_B_49,Industry B,Asia,0.4443808041150874,0.0260411132965198,Mid,watchlist,satellite,76,0.0
B-ST9KM6,32541198.350750968,2025-03-19,review,Company_B_36,Industry B,Asia,0.3384341660679322,0.0383744678486786,Mid,watchlist,,76,0.05
B-IOC2XD,36960381.26215227,2025-01-29,legacy,Company_B_28,Industry B,Europe,0.4363384716897764,0.0387879212756317,Large,manual review,core,13,0.05
