entity_code,EAD,booking_date,internal_comment,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,avg_pd,default_threshold,beta
A-W20E3T,26938874.397447303,2025-05-07,legacy,Company_A_38,Industry A,Asia,0.5677193578394526,0.0071667077953435,Mid,manual review,legacy,67,0.0,-3.090232306167813,0.6807166746770978
A-ZL3UTG,31154443.006722443,2025-05-14,review,Company_A_15,Industry A,Asia,0.4557703606171095,0.0173525364546809,Mid,,satellite,66,0.05,-1.6448536269514729,0.7890166565033934
A-H8WKWS,36314076.04037352,2025-03-05,,Company_A_22,Industry A,South America,0.3976169843656488,0.0222303610074104,Small,stable,satellite,49,0.0,-3.090232306167813,0.782795575681188
A-5CRVMF,14540527.40955621,2025-03-05,,Company_A_33,Industry A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,0.0,-3.090232306167813,0.7208346119754656
A-89F6D0,8875349.051019402,2025-03-26,new,Company_A_23,Industry A,South America,0.4405089339112094,0.0214291306980127,Small,,core,79,0.05,-1.6448536269514729,0.7688999272015237
A-SE4QSN,38461633.08329202,2025-06-18,check formatting,Company_A_02,Industry A,Europe,0.4552824558048973,0.0256362060348401,Mid,,satellite,30,0.0,-3.090232306167813,0.7920898143105146
A-7Y1UPH,10404808.080774983,2025-05-07,,Company_A_27,Industry A,South America,0.523272203388481,0.0133680364113021,Small,,satellite,21,0.0,-3.090232306167813,0.7101284664809302
A-2NTLLF,11918344.378912384,2025-05-21,check formatting,Company_A_47,Industry A,South America,0.5299859397528236,0.0147073195901079,,watchlist,core,75,0.05,-1.6448536269514729,0.7243680116123385
A-0E88G2,15196530.8745463,2025-09-24,review,Company_A_43,Industry A,Asia,0.5010027048718158,0.0165053478571062,Large,manual review,core,32,0.0,-3.090232306167813,0.8130564815558449
A-GT87M2,23528697.39092006,2025-03-26,,Company_A_48,Industry A,North America,0.470622107984787,0.0266448029521849,Mid,stable,,95,0.0,-3.090232306167813,0.8649523414765986
A-YDGV2G,35898894.811192736,2025-12-03,review,Company_A_17,Industry A,Asia,0.4188152157475385,0.0131165692622184,Mid,,satellite,12,0.0,-3.090232306167813,0.7641301790658866
A-C36F0G,31619110.795545343,2025-10-01,check formatting,Company_A_25,Industry A,Asia,0.361436345436521,0.0155263649052208,Large,manual review,satellite,97,0.05,-1.6448536269514729,0.7909558501606617
A-UQSUBF,29785514.38449223,2025-03-05,check formatting,Company_A_08,Industry A,europe,0.3807335107445405,0.0248413917729574,Mid,watchlist,core,78,0.0,-3.090232306167813,0.822284756705801
A-RX0P71,11131319.874960128,2025-04-23,check formatting,Company_A_46,Industry A,Europe,0.5354777244791231,0.0211643901006858,Large,manual review,legacy,34,0.0,-3.090232306167813,0.7088495703067889
A-Y21HNQ,21744172.413033728,2025-04-09,,Company_A_04,Industry A,Asia,0.483018608927679,0.0221541050150394,Mid,watchlist,satellite,97,0.0,-3.090232306167813,0.7457505556475051
A-VZS47E,10159908.371995503,2025-05-14,legacy,Company_A_42,Industry A,South America,0.5100695190985008,0.029103230788234,Small,manual review,legacy,94,0.1,-1.2815515655446004,0.6944036412225654
A-FVDXWD,15791662.138349548,2025-01-01,,Company_A_16,Industry A,SouthAmerica,0.4675997347177412,0.0267959378762021,Small,stable,legacy,23,0.0,-3.090232306167813,0.8301048891463053
A-W69IIB,9454666.941516371,2025-06-11,new,Company_A_21,Industry A,Europe,0.6202775785948131,,Large,manual review,,38,0.0,-3.090232306167813,0.7454000326897849
A-ZVBDSW,24258389.21678901,2025-09-17,,Company_A_44,Industry A,Europe,0.5424249628885357,0.0230438073611222,Mid,watchlist,legacy,57,0.0,-3.090232306167813,0.669968634702414
A-IJCFPR,29675986.878346752,2025-04-23,new,Company_A_39,Industry A,Europe,0.5881880171331348,0.0123306929754193,Mid,stable,legacy,39,0.0,-3.090232306167813,0.749198910993346
A-0172SR,7447607.101690142,2025-11-12,review,Company_A_45,Industry A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0,-3.090232306167813,0.6848999277518155
A-PNGYIK,21839308.56171024,2025-05-14,review,Company_A_40,Industry A,South America,0.4966124193590165,0.0286615580270497,Small,,satellite,58,0.0,-3.090232306167813,0.6946336404280204
A-9XOOP3,32377391.834372822,2025-11-26,review,Company_A_11,Industry A,Asia,0.4209556922747943,0.0180913105300083,Mid,watchlist,legacy,51,0.05,-1.6448536269514729,0.7398201597833023
A-03PK8Q,31179654.51333564,2025-03-26,review,Company_A_50,Industry A,Asia,0.4851709284813595,0.0226209392140638,Large,stable,legacy,19,0.0476190476190476,-1.6683911939470795,0.7269136178673407
A-RSPF7A,33527558.367656395,2025-07-16,review,Company_A_26,Industry A,Europe,0.4572467925521397,0.0232196939663842,Small,watchlist,satellite,55,0.05,-1.6448536269514729,0.7436249588956556
