date,entity_code,default_event,source_flag
12/31/2006,A-D1XPP4,0,system
12/31/2006,A-SE4QSN,,system
12/31/2006,A-DT5C43,0,system
12/31/2006,A-Y21HNQ,0,archive
12/31/2006,A-OL6NCQ,0,system
12/31/2006,A-7PF3WZ,0,system
12/31/2006,A-IYWF3H,0,system
12/31/2006,A-UQSUBF,0,system
12/31/2006,A-UWUTDU,0,system
12/31/2006,A-94BI3C,0,system
12/31/2006,A-9XOOP3,0,system
12/31/2006,A-ZF6S7F,0,system
12/31/2006,A-VN8DME,0,system
12/31/2006,A-J2JZ2Q,0,system
12/31/2006,A-ZL3UTG,0,system
12/31/2006,A-FVDXWD,0,system
12/31/2006,A-YDGV2G,0,system
12/31/2006,A-F8PRQ2,0,manual
12/31/2006,A-TR3J8L,0,system
12/31/2006,A-TFKTLD,0,system
12/31/2006,A-W69IIB,0,system
12/31/2006,A-H8WKWS,0,system
12/31/2006,A-89F6D0,0,system
12/31/2006,A-MXON5D,0,manual
12/31/2006,A-C36F0G,0,manual
12/31/2006,A-RSPF7A,0,system
12/31/2006,A-7Y1UPH,0,system
12/31/2006,A-U7CO9K,1,system
12/31/2006,A-RAVTFW,0,system
12/31/2006,A-G702PQ,0,system
12/31/2006,A-QIMT1V,0,manual
12/31/2006,A-EX85JQ,0,manual
12/31/2006,A-5CRVMF,0,system
12/31/2006,A-FKUFQE,0,system
12/31/2006,A-SY2O3L,0,archive
12/31/2006,A-6IIIXU,0,system
12/31/2006,A-O7YD44,1,system
12/31/2006,A-W20E3T,0,manual
12/31/2006,A-IJCFPR ,0,system
12/31/2006,A-PNGYIK,0,system
12/31/2006,A-84RXH2,0,system
12/31/2006,A-VZS47E,0,system
12/31/2006,A-0E88G2,0,archive
12/31/2006,A-ZVBDSW,0,system
12/31/2006,A-0172SR,0,system
12/31/2006,A-RX0P71,0,system
12/31/2006,A-2NTLLF,0,manual
12/31/2006,A-GT87M2,0,system
12/31/2006,A-PEJ45W,0,system
12/31/2006,A-03PK8Q,0,system
12/31/2006,B-O9B5YK,0,system
12/31/2006,B-5BIIQF,0,archive
12/31/2006,B-AAFB3V,0,system
12/31/2006,B-87E14Z,0,manual
12/31/2006,B-QF30BG,0,archive
12/31/2006,B-CWABH5,0,system
12/31/2006,B-VQT2JW,0,system
12/31/2006,B-TZJXP7,0,system
12/31/2006,B-9E8KDK,0,manual
12/31/2006,B-4H8VVL,0,archive
12/31/2006,B-MUVZTX,0,system
12/31/2006,B-TWSM8S,0,manual
12/31/2006,B-J2ILS4,0,system
12/31/2006,B-CKUMRG,0,archive
12/31/2006,B-ONZFIV,0,system
12/31/2006,B-PL1YFZ,0,system
12/31/2006,B-QFZFP4,0,system
12/31/2006,B-SQ4OLC,0,archive
12/31/2006,B-I67BWI,0,system
12/31/2006,B-JI444W,0,system
12/31/2006,B-0T5M74,0,archive
12/31/2006,B-KVE4NM,0,system
12/31/2006,B-WWOGAM,1,system
12/31/2006,B-FVUAOK,0,system
12/31/2006,B-91X6SZ,0,manual
12/31/2006,B-3PXT8X,0,system
12/31/2006,B-WMAEKB,,manual
12/31/2006,B-IOC2XD,0,system
12/31/2006,B-BN8BND,0,system
12/31/2006,B-O2NB6I,0,system
12/31/2006,B-TB1OZ6,0,system
12/31/2006,B-6KZVQO,1,system
12/31/2006,B-QZP3T9,0,system
12/31/2006,B-4Z0VCO,0,system
12/31/2006,B-MHTAKQ,0,archive
12/31/2006,B-ST9KM6,0,system
12/31/2006,B-HVWXAK,1,system
12/31/2006,B-CUJ2V2,0,system
12/31/2006,B-Y6J2QG,0,system
12/31/2006,B-7PFB78 ,0,manual
12/31/2006,B-JS2LBB,0,system
12/31/2006,B-9KROIO,0,system
12/31/2006,B-JRBLOP,0,system
12/31/2006,b-6r5ymi,0,system
12/31/2006,B-GFVBLE,0,manual
12/31/2006,B-ZWRIDU,0,system
12/31/2006,B-QF6194,0,manual
12/31/2006,B-CN03FL,0,system
12/31/2006,B-3C5B0M,0,manual
12/31/2006,B-3LE6FV,0,system
12/31/2007,A-D1XPP4,0,system
12/31/2007,A-SE4QSN,0,system
12/31/2007,A-DT5C43,0,manual
12/31/2007,A-Y21HNQ,0,system
12/31/2007,A-OL6NCQ,0,system
12/31/2007,A-7PF3WZ,0,manual
12/31/2007,A-IYWF3H,0,system
12/31/2007,A-UQSUBF,,system
12/31/2007,A-UWUTDU,0,system
12/31/2007,A-94BI3C,1,system
12/31/2007,A-9XOOP3,0,system
12/31/2007,A-ZF6S7F,0,system
12/31/2007,A-VN8DME,0,system
12/31/2007,A-J2JZ2Q,0,system
12/31/2007,A-ZL3UTG,0,system
12/31/2007,A-FVDXWD,0,system
12/31/2007,A-YDGV2G,0,system
12/31/2007,A-F8PRQ2,0,system
12/31/2007,A-TR3J8L,0,system
12/31/2007,A-TFKTLD,0,system
12/31/2007,A-W69IIB,0,manual
12/31/2007,A-H8WKWS,0,system
12/31/2007,A-89F6D0,0,manual
12/31/2007,A-MXON5D,0,system
12/31/2007,A-C36F0G,0,archive
12/31/2007,A-RSPF7A,0,system
12/31/2007,A-7Y1UPH,0,system
12/31/2007,A-U7CO9K,0,system
12/31/2007,A-RAVTFW,0,manual
12/31/2007,A-G702PQ,0,system
12/31/2007,A-QIMT1V,0,system
12/31/2007,A-EX85JQ,,system
12/31/2007,A-5CRVMF,0,system
12/31/2007,A-FKUFQE,0,system
12/31/2007,A-SY2O3L,0,system
12/31/2007,A6IIIXU,0,system
12/31/2007,A-O7YD44,0,system
12/31/2007,A-W20E3T,0,system
12/31/2007,A-IJCFPR,0,manual
12/31/2007,A-PNGYIK,0,system
12/31/2007,A-84RXH2,0,system
12/31/2007,A-VZS47E,0,system
12/31/2007,A-0E88G2 ,0,system
12/31/2007,A-ZVBDSW,0,archive
12/31/2007,A-0172SR,0,manual
12/31/2007,A-RX0P71,0,system
12/31/2007,A-2NTLLF,0,system
12/31/2007,A-GT87M2,,system
12/31/2007,A-PEJ45W,0,manual
12/31/2007,A-03PK8Q,0,system
12/31/2007,B-O9B5YK,0,system
12/31/2007,B-5BIIQF,1,archive
12/31/2007,B-AAFB3V,0,system
12/31/2007,B-87E14Z,0,system
12/31/2007,B-QF30BG,1,manual
12/31/2007,B-CWABH5,1,system
12/31/2007,B-VQT2JW,0,system
12/31/2007,B-TZJXP7,0,system
12/31/2007,B-9E8KDK,0,system
12/31/2007,B-4H8VVL,0,system
12/31/2007,B-MUVZTX,0,system
12/31/2007,B-TWSM8S,0,system
12/31/2007,B-J2ILS4,0,system
12/31/2007,B-CKUMRG,0,system
12/31/2007,b-onzfiv,0,system
12/31/2007,B-PL1YFZ,0,system
12/31/2007,B-QFZFP4,0,manual
12/31/2007,B-SQ4OLC,0,manual
12/31/2007,B-I67BWI,0,archive
12/31/2007,B-JI444W,0,manual
12/31/2007,B-0T5M74,0,system
12/31/2007,B-KVE4NM,0,manual
12/31/2007,B-WWOGAM,0,system
12/31/2007,B-FVUAOK,0,archive
12/31/2007,B-91X6SZ,0,system
12/31/2007,B-3PXT8X,0,system
12/31/2007,B-WMAEKB,0,system
12/31/2007,B-IOC2XD,0,system
12/31/2007,B-BN8BND,0,archive
12/31/2007,B-O2NB6I,0,system
12/31/2007,B-TB1OZ6,0,system
12/31/2007,B-6KZVQO,0,manual
12/31/2007,B-QZP3T9,0,manual
12/31/2007,B-4Z0VCO,0,system
12/31/2007,B-MHTAKQ,0,system
12/31/2007,B-ST9KM6,0,system
12/31/2007,B-HVWXAK,,manual
12/31/2007,B-CUJ2V2,0,manual
12/31/2007,B-Y6J2QG,0,system
12/31/2007,B-7PFB78,0,archive
12/31/2007,B-JS2LBB,0,manual
12/31/2007,B-9KROIO,0,manual
12/31/2007,B-JRBLOP,0,manual
12/31/2007,B-6R5YMI,0,system
12/31/2007,B-GFVBLE,1,system
12/31/2007,B-ZWRIDU,0,system
12/31/2007,B-QF6194,,system
12/31/2007,B-CN03FL,0,system
12/31/2007,B-3C5B0M,0,system
12/31/2007,B-3LE6FV,0,system
12/31/2008,A-D1XPP4,0,system
12/31/2008,A-SE4QSN,0,manual
12/31/2008,A-DT5C43,0,system
12/31/2008,A-Y21HNQ,0,system
12/31/2008,A-OL6NCQ,0,system
12/31/2008,A-7PF3WZ,0,system
12/31/2008,A-IYWF3H,0,system
12/31/2008,A-UQSUBF,0,system
12/31/2008,A-UWUTDU,0,manual
12/31/2008,A-94BI3C,0,archive
12/31/2008,A-9XOOP3,0,system
12/31/2008,A-ZF6S7F,0,system
12/31/2008,A-VN8DME,0,system
12/31/2008,A-J2JZ2Q,0,system
12/31/2008,A-ZL3UTG,,system
12/31/2008,A-FVDXWD,0,system
12/31/2008,A-YDGV2G,0,system
12/31/2008,A-F8PRQ2,0,system
12/31/2008,A-TR3J8L,0,system
12/31/2008,A-TFKTLD,0,archive
12/31/2008,A-W69IIB,0,manual
12/31/2008,A-H8WKWS,0,manual
12/31/2008,A-89F6D0,0,system
12/31/2008,A-MXON5D,0,archive
12/31/2008,A-C36F0G,0,system
12/31/2008,A-RSPF7A,0,archive
12/31/2008,A-7Y1UPH,0,manual
12/31/2008,A-U7CO9K,0,system
12/31/2008,A-RAVTFW,0,system
12/31/2008,A-G702PQ,0,system
12/31/2008,A-QIMT1V,0,system
12/31/2008,A-EX85JQ,0,system
12/31/2008,A-5CRVMF,0,system
12/31/2008,A-FKUFQE,0,manual
12/31/2008,A-SY2O3L,0,system
12/31/2008,A-6IIIXU,0,manual
12/31/2008,A-O7YD44,0,system
12/31/2008,A-W20E3T,0,system
12/31/2008,A-IJCFPR,0,system
12/31/2008,A-PNGYIK,0,manual
12/31/2008,A-84RXH2,0,system
12/31/2008,A-VZS47E,0,archive
12/31/2008,A-0E88G2,0,system
12/31/2008,A-ZVBDSW,0,manual
12/31/2008,A-0172SR,0,system
12/31/2008,A-RX0P71,0,manual
12/31/2008,A-2NTLLF,0,system
12/31/2008,A-GT87M2,,system
12/31/2008,A-PEJ45W ,0,system
12/31/2008,A-03PK8Q,0,archive
12/31/2008,B-O9B5YK,0,system
12/31/2008,B-5BIIQF,0,system
12/31/2008,B-AAFB3V,0,manual
12/31/2008,B-87E14Z,0,system
12/31/2008,B-QF30BG,0,system
12/31/2008,B-CWABH5,0,manual
12/31/2008,B-VQT2JW,0,system
12/31/2008,B-TZJXP7,0,system
12/31/2008,B-9E8KDK,0,system
12/31/2008,B-4H8VVL,1,system
12/31/2008,B-MUVZTX,0,system
12/31/2008,B-TWSM8S,0,system
12/31/2008,B-J2ILS4,0,system
12/31/2008,B-CKUMRG,0,system
12/31/2008,B-ONZFIV,0,system
12/31/2008,B-PL1YFZ,0,system
12/31/2008,B-QFZFP4,0,system
12/31/2008,B-SQ4OLC,0,archive
12/31/2008,B-I67BWI,0,system
12/31/2008,B-JI444W,0,archive
12/31/2008,B-0T5M74,0,manual
12/31/2008,B-KVE4NM,0,system
12/31/2008,B-WWOGAM,0,system
12/31/2008,B-FVUAOK,0,archive
12/31/2008,B91X6SZ,0,manual
12/31/2008,B-3PXT8X,0,system
12/31/2008,b-wmaekb,0,system
12/31/2008,B-IOC2XD,0,manual
12/31/2008,B-BN8BND,0,system
12/31/2008,B-O2NB6I,0,system
12/31/2008,B-TB1OZ6,0,system
12/31/2008,B-6KZVQO,0,archive
12/31/2008,B-QZP3T9,0,system
12/31/2008,B-4Z0VCO,0,system
12/31/2008,B-MHTAKQ,0,system
12/31/2008,B-ST9KM6,0,system
12/31/2008,B-HVWXAK,0,archive
12/31/2008,B-CUJ2V2,0,manual
12/31/2008,B-Y6J2QG,0,system
12/31/2008,B-7PFB78,0,system
12/31/2008,B-JS2LBB,1,manual
12/31/2008,B-9KROIO,0,manual
12/31/2008,B-JRBLOP,0,archive
12/31/2008,B-6R5YMI,0,manual
12/31/2008,B-GFVBLE,0,system
12/31/2008,B-ZWRIDU,0,manual
12/31/2008,B-QF6194,0,system
12/31/2008,B-CN03FL,0,system
12/31/2008,B-3C5B0M,0,system
12/31/2008,B-3LE6FV,0,system
12/31/2009,A-D1XPP4,0,system
12/31/2009,A-SE4QSN,0,archive
12/31/2009,A-DT5C43,0,archive
12/31/2009,A-Y21HNQ,0,system
12/31/2009,A-OL6NCQ,0,system
12/31/2009,A-7PF3WZ,0,system
12/31/2009,A-IYWF3H,0,system
12/31/2009,A-UQSUBF,0,manual
12/31/2009,A-UWUTDU,0,system
12/31/2009,A-94BI3C,0,archive
12/31/2009,A-9XOOP3,1,system
12/31/2009,A-ZF6S7F,0,system
12/31/2009,A-VN8DME,0,manual
12/31/2009,A-J2JZ2Q,0,archive
12/31/2009,A-ZL3UTG,0,system
12/31/2009,A-FVDXWD,0,manual
12/31/2009,A-YDGV2G,0,system
12/31/2009,A-F8PRQ2,0,system
12/31/2009,A-TR3J8L,0,archive
12/31/2009,A-TFKTLD,0,system
12/31/2009,A-W69IIB,0,archive
12/31/2009,A-H8WKWS,0,system
12/31/2009,A-89F6D0,0,system
12/31/2009,a-mxon5d,0,system
12/31/2009,A-C36F0G,0,manual
12/31/2009,A-RSPF7A,0,system
12/31/2009,A-7Y1UPH,0,archive
12/31/2009,A-U7CO9K,0,system
12/31/2009,A-RAVTFW,0,archive
12/31/2009,A-G702PQ,0,system
12/31/2009,A-QIMT1V,0,archive
12/31/2009,A-EX85JQ,0,system
12/31/2009,A-5CRVMF,0,system
12/31/2009,A-FKUFQE,0,system
12/31/2009,A-SY2O3L,0,archive
12/31/2009,A-6IIIXU,0,manual
12/31/2009,A-O7YD44,,system
12/31/2009,a-w20e3t,0,archive
12/31/2009,A-IJCFPR,0,system
12/31/2009,A-PNGYIK,0,system
12/31/2009,A-84RXH2,0,system
12/31/2009,A-VZS47E,0,system
12/31/2009,A-0E88G2,0,system
12/31/2009,a-zvbdsw,0,system
12/31/2009,A-0172SR,0,system
12/31/2009,A-RX0P71,0,system
12/31/2009,A-2NTLLF,0,system
12/31/2009,A-GT87M2,0,system
12/31/2009,A-PEJ45W,0,system
12/31/2009,A-03PK8Q,0,system
12/31/2009, B-O9B5YK,0,system
12/31/2009,B-5BIIQF,0,system
12/31/2009,B-AAFB3V,0,system
12/31/2009,B-87E14Z,0,manual
12/31/2009,B-QF30BG,0,manual
12/31/2009,B-CWABH5,0,system
12/31/2009,B-VQT2JW,0,archive
12/31/2009,B-TZJXP7,0,system
12/31/2009,B-9E8KDK,0,archive
12/31/2009,B-4H8VVL,0,system
12/31/2009,B-MUVZTX,0,system
