entity_code,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score
A-D1XPP4,Company_A_01,Industry A,Europe,0.2939171849076931,0.01348910246568841,Large,manual review,legacy,80
A-SE4QSN,Company_A_02,industry a,Europe,0.4552824558048973,0.025636206034840164,Mid,,satellite,30
A-DT5C43,Company_A_03,industry a,Asia,0.43521101091637915,0.016595352277980292,Large,manual review,satellite,90
A-Y21HNQ,Company_A_04,Industry A,Asia,0.48301860892767906,0.022154105015039414,Mid,watchlist,satellite,97
A-OL6NCQ,Company_A_05,Industry A,South America,0.44088420338761003,0.01579921761518736,,watchlist,legacy,70
A-7PF3WZ,Company_A_06,Ind. A,Europe,0.39675922341690445,0.0211608066153336,,stable,,35
A-IYWF3H,Company_A_07,Industry A,South America,0.47312955189519873,0.0231564411291927,Mid,watchlist,satellite,80
A-UQSUBF,Company_A_08,Industry A,europe,0.38073351074454054,0.024841391772957404,Mid,watchlist,core,78
A-UWUTDU,Company_A_09,Industry A,SouthAmerica,0.422101994220125,0.017688241036677165,,stable,satellite,46
A-94BI3C,Company_A_10,Industry A,,0.4613940588856452,0.02345242677033884,Mid,stable,legacy,80
A-9XOOP3,Company_A_11,IndustryA,Asia,0.4209556922747943,0.018091310530008356,Mid,watchlist,legacy,51
A-ZF6S7F,Company_A_12,industry a,asia,0.5032308087178229,,Small,manual review,legacy,66
A-VN8DME,Company_A_13,Industry A,Asia,0.48198193813787493,0.015472604723199695,Small,,,97
A-J2JZ2Q,Company_A_14,Industry A,North America,0.3739982356071535,0.018304834620497187,,stable,legacy,28
A-ZL3UTG,Company_A_15,Industry A,Asia,0.45577036061710957,0.01735253645468099,Mid,,satellite,66
A-FVDXWD,Company_A_16,Industry A,SouthAmerica,0.46759973471774124,0.026795937876202183,Small,stable,legacy,23
A-YDGV2G,Company_A_17,industry a,Asia,0.41881521574753855,0.013116569262218457,Mid,,satellite,12
A-F8PRQ2,Company_A_18,Industry A,Europe,0.6097384713353429,0.03456931233003665,Large,watchlist,core,61
A-TR3J8L,Company_A_19,IndustryA,North America,0.40103225607521537,0.019296045567918075,Large,manual review,core,90
A-TFKTLD,Company_A_20,Industry A,North America,0.4456973959345344,0.028839649567899417,Large,manual review,satellite,19
A-W69IIB,Company_A_21,IndustryA,Europe,0.6202775785948131,,Large,manual review,,38
A-H8WKWS,Company_A_22,Industry A,South America,0.3976169843656488,0.022230361007410403,Small,stable,satellite,49
A-89F6D0,Company_A_23,Industry A,South America,0.44050893391120943,0.021429130698012715,Small,,core,79
A-MXON5D,Company_A_24,Industry A,North America,0.4646587549777525,0.0138776548413975,Small,,core,21
A-C36F0G,Company_A_25,Industry A,Asia,0.361436345436521,0.015526364905220868,Large,manual review,satellite,97
A-RSPF7A,Company_A_26,Industry A,Europe,0.4572467925521397,0.02321969396638429,Small,watchlist,satellite,55
A-7Y1UPH,Company_A_27,Industry A,South America,0.523272203388481,0.01336803641130218,Small,,satellite,21
A-U7CO9K,Company_A_28,Industry A,Europe,0.4930492349603141,0.02668699053721372,Small,stable,,93
A-RAVTFW,Company_A_29,Industry A,SouthAmerica,0.45723918253022994,0.021141141650694525,Large,watchlist,core,63
A-G702PQ,Company_A_30,Industry A,North America,,0.02602926810444117,Large,,satellite,81
A-QIMT1V,Company_A_31,Industry A,SouthAmerica,0.6268833568473738,0.017352802863169633,Mid,,,48
