entity_code_clean,date_clean,default_event_clean
A-0172SR,2006-12-31,0.0
A-0172SR,2007-12-31,0.0
A-0172SR,2008-12-31,0.0
A-0172SR,2009-12-31,0.0
A-0172SR,2010-12-31,0.0
A-0172SR,2011-12-31,0.0
A-0172SR,2012-12-31,0.0
A-0172SR,2013-12-31,0.0
A-0172SR,2014-12-31,0.0
A-0172SR,2015-12-31,0.0
A-0172SR,2016-12-31,0.0
A-0172SR,2017-12-31,0.0
A-0172SR,2018-12-31,0.0
A-0172SR,2019-12-31,0.0
A-0172SR,2020-12-31,0.0
A-0172SR,2021-12-31,0.0
A-0172SR,2022-12-31,0.0
A-0172SR,2023-12-31,0.0
A-0172SR,2024-12-31,0.0
A-0172SR,2025-12-31,0.0
A-03PK8Q,2006-12-31,0.0
A-03PK8Q,2007-12-31,0.0
A-03PK8Q,2008-12-31,0.0
A-03PK8Q,2009-12-31,0.0
A-03PK8Q,2010-12-31,0.0
A-03PK8Q,2011-12-31,0.0
A-03PK8Q,2012-12-31,0.0
A-03PK8Q,2013-12-31,1.0
A-03PK8Q,2014-12-31,0.0
A-03PK8Q,2015-12-31,0.0
A-03PK8Q,2016-12-31,0.0
A-03PK8Q,2017-12-31,0.0
A-03PK8Q,2018-12-31,0.0
A-03PK8Q,2019-12-31,0.0
A-03PK8Q,2020-12-31,0.0
A-03PK8Q,2021-12-31,0.0
A-03PK8Q,2022-12-31,0.0
A-03PK8Q,2023-12-31,0.0
A-03PK8Q,2024-12-31,0.0
A-03PK8Q,2025-12-31,0.0
A-0E88G2,2006-12-31,0.0
A-0E88G2,2007-12-31,0.0
A-0E88G2,2008-12-31,0.0
A-0E88G2,2009-12-31,0.0
A-0E88G2,2010-12-31,0.0
A-0E88G2,2011-12-31,0.0
A-0E88G2,2012-12-31,0.0
A-0E88G2,2013-12-31,0.0
A-0E88G2,2014-12-31,0.0
A-0E88G2,2015-12-31,0.0
A-0E88G2,2016-12-31,0.0
A-0E88G2,2017-12-31,0.0
A-0E88G2,2018-12-31,0.0
A-0E88G2,2019-12-31,0.0
A-0E88G2,2020-12-31,0.0
A-0E88G2,2021-12-31,0.0
A-0E88G2,2022-12-31,0.0
A-0E88G2,2023-12-31,0.0
A-0E88G2,2024-12-31,0.0
A-0E88G2,2025-12-31,0.0
A-2NTLLF,2006-12-31,0.0
A-2NTLLF,2007-12-31,0.0
A-2NTLLF,2008-12-31,0.0
A-2NTLLF,2009-12-31,0.0
A-2NTLLF,2010-12-31,0.0
A-2NTLLF,2011-12-31,0.0
A-2NTLLF,2012-12-31,0.0
A-2NTLLF,2013-12-31,0.0
A-2NTLLF,2014-12-31,0.0
A-2NTLLF,2015-12-31,0.0
