date,industry,index_return,industry_clean,date_clean
2023-01-02,Ind. A,-0.000863367343038,Industry A,2023-01-02
03/01/2023,Industry A,0.0097585283662399,Industry A,2023-03-01
2023-01-04,Industry A,-0.0034803674539112,Industry A,2023-01-04
2023-01-05,Industry A,0.0205590401956502,Industry A,2023-01-05
2023-01-06,IndustryA,0.0094382827166642,Industry A,2023-01-06
2023-01-09,Industry A,0.0028072778987434,Industry A,2023-01-09
10/01/2023,Industry A,0.0060640222936076,Industry A,2023-10-01
2023-01-11,Industry A,-0.0065253936256369,Industry A,2023-01-11
2023-01-12,Industry A,-0.0028247537848402,Industry A,2023-01-12
2023-01-13,Industry A,-0.0032785073856984,Industry A,2023-01-13
2023-01-16,Industry A,-0.0090066048223676,Industry A,2023-01-16
17/01/2023,Industry A,-0.016122921251106,Industry A,2023-01-17
2023-01-18,Ind. A,0.0067438791436047,Industry A,2023-01-18
2023-01-19,Ind. A,0.0117820459127439,Industry A,2023-01-19
2023-01-20,Industry A,0.004904131248389,Industry A,2023-01-20
2023-01-23,Industry A,-0.0008984802330184,Industry A,2023-01-23
2023-01-24,Industry A,0.0267698313895029,Industry A,2023-01-24
2023-01-25,Industry A,-0.0077905325334452,Industry A,2023-01-25
2023-01-26,industry a,0.00322225298354,Industry A,2023-01-26
2023-01-27,Industry A,0.0136721390547648,Industry A,2023-01-27
2023-01-30,IndustryA,-0.0131311731425886,Industry A,2023-01-30
2023-01-31,Industry A,0.0077081068591538,Industry A,2023-01-31
2023-02-02,IndustryA,7.764661249944643e-05,Industry A,2023-02-02
2023-02-03,industry a,0.0021115734059556,Industry A,2023-02-03
2023-02-06,Industry A,-0.0077236013922638,Industry A,2023-02-06
2023-02-07,Ind. A,0.0059192356078877,Industry A,2023-02-07
2023-02-08,industry a,-0.0092798362464112,Industry A,2023-02-08
2023-02-09,Industry A,-0.0006375854291456,Industry A,2023-02-09
2023-02-10,Industry A,-0.0174617482158902,Industry A,2023-02-10
2023-02-13,Industry A,-0.0310226597806202,Industry A,2023-02-13
2023-02-14,IndustryA,-0.0055369966930458,Industry A,2023-02-14
2023-02-15,Industry A,-0.0057216185098465,Industry A,2023-02-15
2023-02-16,Industry A,-0.0045629660948535,Industry A,2023-02-16
17/02/2023,IndustryA,0.0090420383710406,Industry A,2023-02-17
2023-02-20,Industry A,0.0121586586139808,Industry A,2023-02-20
2023-02-21,IndustryA,0.0037351141107005,Industry A,2023-02-21
2023-02-22,Industry A,0.008120449901484,Industry A,2023-02-22
2023-02-23,industry a,-0.0089612718077279,Industry A,2023-02-23
2023-02-24,Ind. A,-0.0117320213019414,Industry A,2023-02-24
2023-02-27,Industry A,0.0061750752112325,Industry A,2023-02-27
2023-02-28,Industry A,-0.0132754845892855,Industry A,2023-02-28
2023-03-01,industry a,-0.0144964573318064,Industry A,2023-03-01
