date,entity_code,stock_return,entity_code_clean,date_clean
2023-01-02,A-D1XPP4,-0.0091204965940852,A-D1XPP4,2023-01-02
2023-01-03,A-D1XPP4,0.0175638064028685,A-D1XPP4,2023-01-03
04-01-2023,A-D1XPP4,-0.0227915757526716,A-D1XPP4,2023-04-01
05-01-2023,A-D1XPP4,-0.007894762189735,A-D1XPP4,2023-05-01
2023-01-06,A-D1XPP4,0.0211454710095985,A-D1XPP4,2023-01-06
2023-01-09,A-D1XPP4,0.0067911807047046,A-D1XPP4,2023-01-09
2023-01-10,A-D1XPP4,0.0214554210331378,A-D1XPP4,2023-01-10
2023-01-11,A-D1XPP4,-0.0148069889170954,A-D1XPP4,2023-01-11
2023-01-12,A-D1XPP4,-0.0165716984725076,A-D1XPP4,2023-01-12
2023-01-13,A-D1XPP4,0.0218701340671776,A-D1XPP4,2023-01-13
2023-01-16,A-D1XPP4 ,-0.0346185416097946,A-D1XPP4,2023-01-16
17-01-2023,A-D1XPP4,0.0096279557643663,A-D1XPP4,2023-01-17
2023-01-18,A-D1XPP4,0.0291641880495666,A-D1XPP4,2023-01-18
2023-01-19,A-D1XPP4,0.0249072479869845,A-D1XPP4,2023-01-19
2023-01-20,A-D1XPP4,-0.0084572303074768,A-D1XPP4,2023-01-20
2023-01-23,A-D1XPP4,-0.0154162132474712,A-D1XPP4,2023-01-23
2023-01-24,A-D1XPP4,0.0176348611976347,A-D1XPP4,2023-01-24
2023-01-25,A-D1XPP4,-0.0295431402097213,A-D1XPP4,2023-01-25
2023-01-26,A-D1XPP4,-0.0147326895907326,A-D1XPP4,2023-01-26
27-01-2023,A-D1XPP4,0.0225429284909747,A-D1XPP4,2023-01-27
2023-01-30,A-D1XPP4,0.0011833455419639,A-D1XPP4,2023-01-30
2023-01-31,A-D1XPP4,-0.0127258613903061,A-D1XPP4,2023-01-31
2023-02-01,A-D1XPP4,0.0293911501018755,A-D1XPP4,2023-02-01
2023-02-02,A-D1XPP4,0.008239576793316,A-D1XPP4,2023-02-02
2023-02-03,A-D1XPP4,0.0288672113071524,A-D1XPP4,2023-02-03
2023-02-06,A-D1XPP4,0.0040655748398042,A-D1XPP4,2023-02-06
2023-02-07,A-D1XPP4,0.023789847453529,A-D1XPP4,2023-02-07
2023-02-08,A-D1XPP4 ,0.0011635276396148,A-D1XPP4,2023-02-08
2023-02-09,A-D1XPP4,0.0171286556312328,A-D1XPP4,2023-02-09
2023-02-10,A-D1XPP4,-0.0371375073909321,A-D1XPP4,2023-02-10
2023-02-13,a-d1xpp4,-0.0270095280524926,A-D1XPP4,2023-02-13
2023-02-14,A-D1XPP4,-0.0051312871825322,A-D1XPP4,2023-02-14
2023-02-15,A-D1XPP4,-0.0089647938527122,A-D1XPP4,2023-02-15
2023-02-16,A-D1XPP4,0.0043395864698182,A-D1XPP4,2023-02-16
2023-02-21,A-D1XPP4,-0.0001968985734236,A-D1XPP4,2023-02-21
2023-02-22,A-D1XPP4,-0.006746781516025,A-D1XPP4,2023-02-22
2023-02-23,A-D1XPP4,0.0125803318886298,A-D1XPP4,2023-02-23
2023-02-24,A-D1XPP4,-0.0030904263425041,A-D1XPP4,2023-02-24
2023-02-28,A-D1XPP4,-0.0141067634211216,A-D1XPP4,2023-02-28
2023-03-01,A-D1XPP4,-0.0429765600641776,A-D1XPP4,2023-03-01
2023-03-02,A-D1XPP4,0.0282280799203966,A-D1XPP4,2023-03-02
2023-03-03,A-D1XPP4,0.0021869991355396,A-D1XPP4,2023-03-03
2023-03-06,A-D1XPP4,-0.0275584529888295,A-D1XPP4,2023-03-06
2023-03-07,A-D1XPP4,0.0181910091019155,A-D1XPP4,2023-03-07
2023-03-08,A-D1XPP4,-0.0041161187085997,A-D1XPP4,2023-03-08
2023-03-09,A-D1XPP4,0.0165200739041762,A-D1XPP4,2023-03-09
2023-03-13,A-D1XPP4,0.0192403859274263,A-D1XPP4,2023-03-13
2023-03-14,A-D1XPP4,-0.0022893393370719,A-D1XPP4,2023-03-14
2023-03-15,A-D1XPP4,-0.0337596114993977,A-D1XPP4,2023-03-15
16-03-2023,A-D1XPP4,-0.0268681134287576,A-D1XPP4,2023-03-16
2023-03-17,A-D1XPP4,-0.0195947788616397,A-D1XPP4,2023-03-17
2023-03-20,A-D1XPP4,-0.0116899886057415,A-D1XPP4,2023-03-20
2023-03-21,A-D1XPP4,-0.0215770410922495,A-D1XPP4,2023-03-21
22-03-2023,A-D1XPP4,-0.0019978783962832,A-D1XPP4,2023-03-22
2023-03-23,A-D1XPP4,-0.0001593463871449,A-D1XPP4,2023-03-23
