entity_code_clean,years_observed,default_count,historical_pd
A-0172SR,20,0.0,0.0
A-03PK8Q,20,1.0,0.05
A-0E88G2,20,0.0,0.0
A-2NTLLF,20,1.0,0.05
A-5CRVMF,20,0.0,0.0
A-6IIIXU,20,0.0,0.0
A-7PF3WZ,20,0.0,0.0
A-7Y1UPH,20,0.0,0.0
A-84RXH2,20,0.0,0.0
A-89F6D0,20,1.0,0.05
A-94BI3C,20,1.0,0.05
A-9XOOP3,20,1.0,0.05
A-C36F0G,20,1.0,0.05
A-D1XPP4,20,0.0,0.0
A-DT5C43,20,0.0,0.0
A-EX85JQ,20,0.0,0.0
A-F8PRQ2,20,1.0,0.05
A-FKUFQE,20,0.0,0.0
A-FVDXWD,20,0.0,0.0
A-G702PQ,20,1.0,0.05
A-GT87M2,20,0.0,0.0
A-H8WKWS,20,0.0,0.0
A-IJCFPR,20,0.0,0.0
A-IYWF3H,20,0.0,0.0
A-J2JZ2Q,20,0.0,0.0
A-MXON5D,20,0.0,0.0
A-O7YD44,20,2.0,0.1
A-OL6NCQ,20,0.0,0.0
A-PEJ45W,20,1.0,0.05
A-PNGYIK,20,0.0,0.0
A-QIMT1V,20,0.0,0.0
A-RAVTFW,20,0.0,0.0
A-RSPF7A,20,1.0,0.05
A-RX0P71,20,0.0,0.0
A-SE4QSN,20,0.0,0.0
A-SY2O3L,20,0.0,0.0
A-TFKTLD,20,0.0,0.0
A-TR3J8L,20,0.0,0.0
A-U7CO9K,20,2.0,0.1
A-UQSUBF,20,0.0,0.0
A-UWUTDU,20,0.0,0.0
A-VN8DME,20,0.0,0.0
A-VZS47E,20,2.0,0.1
A-W20E3T,20,0.0,0.0
A-W69IIB,20,0.0,0.0
A-Y21HNQ,20,0.0,0.0
A-YDGV2G,20,0.0,0.0
A-ZF6S7F,20,0.0,0.0
A-ZL3UTG,20,1.0,0.05
A-ZVBDSW,20,0.0,0.0
B-0T5M74,20,2.0,0.1
B-3C5B0M,20,0.0,0.0
B-3LE6FV,20,1.0,0.05
B-3PXT8X,20,0.0,0.0
B-4H8VVL,20,2.0,0.1
B-4Z0VCO,20,0.0,0.0
B-5BIIQF,20,2.0,0.1
B-6KZVQO,20,3.0,0.15
B-6R5YMI,20,0.0,0.0
B-7PFB78,20,0.0,0.0
B-87E14Z,20,1.0,0.05
B-91X6SZ,20,1.0,0.05
B-9E8KDK,20,1.0,0.05
B-9KROIO,20,1.0,0.05
B-AAFB3V,20,0.0,0.0
B-BN8BND,20,1.0,0.05
B-CKUMRG,20,2.0,0.1
B-CN03FL,20,0.0,0.0
B-CUJ2V2,20,0.0,0.0
B-CWABH5,20,1.0,0.05
B-FVUAOK,20,1.0,0.05
B-GFVBLE,20,1.0,0.05
B-HVWXAK,20,1.0,0.05
B-I67BWI,20,0.0,0.0
B-IOC2XD,20,1.0,0.05
B-J2ILS4,20,1.0,0.05
B-JI444W,20,0.0,0.0
B-JRBLOP,20,0.0,0.0
B-JS2LBB,20,1.0,0.05
B-KVE4NM,20,1.0,0.05
B-MHTAKQ,20,1.0,0.05
B-MUVZTX,20,0.0,0.0
B-O2NB6I,20,0.0,0.0
B-O9B5YK,20,1.0,0.05
B-ONZFIV,20,1.0,0.05
B-PL1YFZ,20,0.0,0.0
B-QF30BG,20,2.0,0.1
B-QF6194,20,1.0,0.05
B-QFZFP4,20,1.0,0.05
B-QZP3T9,20,1.0,0.05
B-SQ4OLC,20,0.0,0.0
B-ST9KM6,20,1.0,0.05
B-TB1OZ6,20,0.0,0.0
B-TWSM8S,20,1.0,0.05
B-TZJXP7,20,1.0,0.05
B-VQT2JW,20,1.0,0.05
B-WMAEKB,20,1.0,0.05
B-WWOGAM,20,1.0,0.05
B-Y6J2QG,20,0.0,0.0
B-ZWRIDU,20,1.0,0.05
