portfolio,entity_code_clean,entity_name,industry_clean,region_clean,size_bucket,EAD_clean,LGD_clean,PD_clean,historical_pd,booking_date_clean
Portfolio 1,A-0172SR,Company_A_45,Industry A,Europe,Small,7447607.101690142,0.4027117259847115,0.0229545316139667,0.0,2025-11-12
Portfolio 1,A-03PK8Q,Company_A_50,Industry A,Asia,Large,31179654.51333564,0.4851709284813595,0.0226209392140638,0.05,2025-03-26
Portfolio 1,A-0E88G2,Company_A_43,Industry A,Asia,Large,15196530.8745463,0.5010027048718158,0.0165053478571062,0.0,2025-09-24
Portfolio 1,A-2NTLLF,Company_A_47,Industry A,South America,,11918344.378912384,0.5299859397528236,0.0147073195901079,0.05,2025-05-21
Portfolio 1,A-5CRVMF,Company_A_33,Industry A,Europe,Large,14540527.40955621,0.371051433725741,0.0187736107702894,0.0,2025-03-05
Portfolio 1,A-7Y1UPH,Company_A_27,Industry A,South America,Small,10404808.080774983,0.523272203388481,0.0133680364113021,0.0,2025-05-07
Portfolio 1,A-89F6D0,Company_A_23,Industry A,South America,Small,8875349.051019402,0.4405089339112094,0.0214291306980127,0.05,2025-03-26
Portfolio 1,A-9XOOP3,Company_A_11,Industry A,Asia,Mid,32377391.834372822,0.4209556922747943,0.0180913105300083,0.05,2025-11-26
Portfolio 1,A-C36F0G,Company_A_25,Industry A,Asia,Large,31619110.795545343,0.361436345436521,0.0155263649052208,0.05,2025-10-01
Portfolio 1,A-DT5C43,Company_A_03,Industry A,Asia,Large,13426357.492499432,0.4352110109163791,0.0165953522779802,0.0,2025-12-10
Portfolio 1,A-FKUFQE,Company_A_34,Industry A,North America,Small,20688422.160971247,0.4286890007992836,0.0211608494481312,0.0,2025-10-08
Portfolio 1,A-FVDXWD,Company_A_16,Industry A,South America,Small,15791662.138349548,0.4675997347177412,0.0267959378762021,0.0,2025-01-01
Portfolio 1,A-GT87M2,Company_A_48,Industry A,North America,Mid,23528697.39092006,0.4557703606171095,0.0266448029521849,0.0,2025-03-26
Portfolio 1,A-H8WKWS,Company_A_22,Industry A,South America,Small,72628152.08074704,0.3976169843656488,0.0222303610074104,0.0,2025-03-05
Portfolio 1,A-IJCFPR,Company_A_39,Industry A,Europe,Mid,29675986.878346752,0.5881880171331348,0.0123306929754193,0.0,2025-04-23
Portfolio 1,A-O7YD44,Company_A_37,Industry A,South America,Large,33719497.892395124,0.3611655452468417,0.0176423759627502,0.1,2025-01-22
Portfolio 1,A-PNGYIK,Company_A_40,Industry A,South America,Small,21839308.56171024,0.4966124193590165,0.0286615580270497,0.0,2025-05-14
Portfolio 1,A-QIMT1V,Company_A_31,Industry A,South America,Mid,22684002.97631515,0.6268833568473738,0.0173528028631696,0.0,2025-02-12
Portfolio 1,A-RSPF7A,Company_A_26,Industry A,Europe,Small,33527558.367656395,0.4572467925521397,0.0232196939663842,0.05,2025-07-16
Portfolio 1,A-RX0P71,Company_A_46,Industry A,Europe,Large,11131319.874960128,0.5354777244791231,0.0211643901006858,0.0,2025-04-23
Portfolio 1,A-SE4QSN,Company_A_02,Industry A,Europe,Mid,38461633.08329202,0.4552824558048973,0.0256362060348401,0.0,2025-06-18
Portfolio 1,A-TR3J8L,Company_A_19,Industry A,North America,Large,22684002.97631515,0.4010322560752153,0.019296045567918,0.0,2025-03-05
Portfolio 1,A-UQSUBF,Company_A_08,Industry A,Europe,Mid,29785514.38449223,0.3807335107445405,0.0248413917729574,0.0,2025-03-05
Portfolio 1,A-VZS47E,Company_A_42,Industry A,South America,Small,10159908.371995503,0.5100695190985008,0.029103230788234,0.1,2025-05-14
Portfolio 1,A-W20E3T,Company_A_38,Industry A,Asia,Mid,26938874.397447303,0.5677193578394526,0.0071667077953435,0.0,2025-05-07
Portfolio 1,A-W69IIB,Company_A_21,Industry A,Europe,Large,9454666.941516371,0.6202775785948131,0.019296045567918,0.0,2025-06-11
Portfolio 1,A-Y21HNQ,Company_A_04,Industry A,Asia,Mid,21744172.413033728,0.483018608927679,0.0221541050150394,0.0,2025-04-09
Portfolio 1,A-YDGV2G,Company_A_17,Industry A,Asia,Mid,35898894.811192736,0.4188152157475385,0.0131165692622184,0.0,2025-12-03
Portfolio 1,A-ZL3UTG,Company_A_15,Industry A,Asia,Mid,31154443.006722443,0.4557703606171095,0.0173525364546809,0.05,2025-05-14
Portfolio 1,A-ZVBDSW,Company_A_44,Industry A,Europe,Mid,24258389.21678901,0.5424249628885357,0.0230438073611222,0.0,2025-09-17
