entity_code,entity_name,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,industry_norm,lgd_imputed,pd_imputed
A-D1XPP4,Company_A_01,Europe,0.2939171849076931,0.0134891024656884,Large,manual review,legacy,80,Industry A,0,0
A-SE4QSN,Company_A_02,Europe,0.4552824558048973,0.0256362060348401,Mid,,satellite,30,Industry A,0,0
A-DT5C43,Company_A_03,Asia,0.4352110109163791,0.0165953522779802,Large,manual review,satellite,90,Industry A,0,0
A-Y21HNQ,Company_A_04,Asia,0.483018608927679,0.0221541050150394,Mid,watchlist,satellite,97,Industry A,0,0
A-OL6NCQ,Company_A_05,South America,0.44088420338761,0.0157992176151873,,watchlist,legacy,70,Industry A,0,0
A-7PF3WZ,Company_A_06,Europe,0.3967592234169044,0.0211608066153336,,stable,,35,Industry A,0,0
A-IYWF3H,Company_A_07,South America,0.4731295518951987,0.0231564411291927,Mid,watchlist,satellite,80,Industry A,0,0
A-UQSUBF,Company_A_08,Europe,0.3807335107445405,0.0248413917729574,Mid,watchlist,core,78,Industry A,0,0
A-UWUTDU,Company_A_09,South America,0.422101994220125,0.0176882410366771,,stable,satellite,46,Industry A,0,0
A-94BI3C,Company_A_10,,0.4613940588856452,0.0234524267703388,Mid,stable,legacy,80,Industry A,0,0
A-9XOOP3,Company_A_11,Asia,0.4209556922747943,0.0180913105300083,Mid,watchlist,legacy,51,Industry A,0,0
A-ZF6S7F,Company_A_12,Asia,0.5032308087178229,0.02004961914008768,Small,manual review,legacy,66,Industry A,0,1
A-VN8DME,Company_A_13,Asia,0.4819819381378749,0.0154726047231996,Small,,,97,Industry A,0,0
A-J2JZ2Q,Company_A_14,North America,0.3739982356071535,0.0183048346204971,,stable,legacy,28,Industry A,0,0
A-ZL3UTG,Company_A_15,Asia,0.4557703606171095,0.0173525364546809,Mid,,satellite,66,Industry A,0,0
A-FVDXWD,Company_A_16,South America,0.4675997347177412,0.0267959378762021,Small,stable,legacy,23,Industry A,0,0
A-YDGV2G,Company_A_17,Asia,0.4188152157475385,0.0131165692622184,Mid,,satellite,12,Industry A,0,0
A-F8PRQ2,Company_A_18,Europe,0.6097384713353429,0.0345693123300366,Large,watchlist,core,61,Industry A,0,0
A-TR3J8L,Company_A_19,North America,0.4010322560752153,0.019296045567918,Large,manual review,core,90,Industry A,0,0
A-TFKTLD,Company_A_20,North America,0.4456973959345344,0.0288396495678994,Large,manual review,satellite,19,Industry A,0,0
A-W69IIB,Company_A_21,Europe,0.6202775785948131,0.02004961914008768,Large,manual review,,38,Industry A,0,1
A-H8WKWS,Company_A_22,South America,0.3976169843656488,0.0222303610074104,Small,stable,satellite,49,Industry A,0,0
A-89F6D0,Company_A_23,South America,0.4405089339112094,0.0214291306980127,Small,,core,79,Industry A,0,0
A-MXON5D,Company_A_24,North America,0.4646587549777525,0.0138776548413975,Small,,core,21,Industry A,0,0
A-C36F0G,Company_A_25,Asia,0.361436345436521,0.0155263649052208,Large,manual review,satellite,97,Industry A,0,0
A-RSPF7A,Company_A_26,Europe,0.4572467925521397,0.0232196939663842,Small,watchlist,satellite,55,Industry A,0,0
A-7Y1UPH,Company_A_27,South America,0.523272203388481,0.0133680364113021,Small,,satellite,21,Industry A,0,0
A-U7CO9K,Company_A_28,Europe,0.4930492349603141,0.0266869905372137,Small,stable,,93,Industry A,0,0
A-RAVTFW,Company_A_29,South America,0.4572391825302299,0.0211411416506945,Large,watchlist,core,63,Industry A,0,0
A-G702PQ,Company_A_30,North America,0.46010643814755675,0.0260292681044411,Large,,satellite,81,Industry A,1,0
A-QIMT1V,Company_A_31,South America,0.6268833568473738,0.0173528028631696,Mid,,,48,Industry A,0,0
A-EX85JQ,Company_A_32,North America,0.3470061934980775,0.0145160721077268,Large,watchlist,,19,Industry A,0,0
A-5CRVMF,Company_A_33,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,Industry A,0,0
A-FKUFQE,Company_A_34,North America,0.4286890007992836,0.0211608494481312,Small,watchlist,satellite,63,Industry A,0,0
A-SY2O3L,Company_A_35,South America,0.4500067514473131,0.02004961914008768,Small,manual review,satellite,26,Industry A,0,1
A-6IIIXU,Company_A_36,,0.3889554232244186,0.0144379426400829,Large,stable,core,14,Industry A,0,0
A-O7YD44,Company_A_37,South America,0.3611655452468417,0.0176423759627502,Large,,legacy,67,Industry A,0,0
A-W20E3T,Company_A_38,Asia,0.5677193578394526,0.0071667077953435,Mid,manual review,legacy,67,Industry A,0,0
A-IJCFPR,Company_A_39,Europe,0.5881880171331348,0.0123306929754193,Mid,stable,legacy,39,Industry A,0,0
A-PNGYIK,Company_A_40,South America,0.4966124193590165,0.0286615580270497,Small,,satellite,58,Industry A,0,0
A-84RXH2,Company_A_41,North America,0.4553236652687364,0.0165128808834986,Mid,manual review,core,28,Industry A,0,0
A-VZS47E,Company_A_42,South America,0.5100695190985008,0.029103230788234,Small,manual review,legacy,94,Industry A,0,0
