entity_code,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score
A-D1XPP4,Company_A_01,Industry A,Europe,0.2939171849076931,0.0134891024656884,EUROPE,manual review,legacy,80
A-SE4QSN,Company_A_02,Industry A,Europe,0.4552824558048973,0.0256362060348401,EUROPE,,satellite,30
A-DT5C43,Company_A_03,Industry A,Asia,0.4352110109163791,0.0165953522779802,ASIA,manual review,satellite,90
A-Y21HNQ,Company_A_04,Industry A,Asia,0.483018608927679,0.0221541050150394,ASIA,watchlist,satellite,97
A-OL6NCQ,Company_A_05,Industry A,South America,0.44088420338761,0.0157992176151873,SOUTHAMERICA,watchlist,legacy,70
A-7PF3WZ,Company_A_06,Industry A,Europe,0.3967592234169044,0.0211608066153336,EUROPE,stable,,35
A-IYWF3H,Company_A_07,Industry A,South America,0.4731295518951987,0.0231564411291927,SOUTHAMERICA,watchlist,satellite,80
A-UQSUBF,Company_A_08,Industry A,Europe,0.3807335107445405,0.0248413917729574,EUROPE,watchlist,core,78
A-UWUTDU,Company_A_09,Industry A,South America,0.422101994220125,0.0176882410366771,SOUTHAMERICA,stable,satellite,46
A-94BI3C,Company_A_10,Industry A,,,,,stable,legacy,80
A-9XOOP3,Company_A_11,Industry A,Asia,0.4209556922747943,0.0180913105300083,ASIA,watchlist,legacy,51
A-ZF6S7F,Company_A_12,Industry A,Asia,0.5032308087178229,0.016460183803486107,ASIA,manual review,legacy,66
A-VN8DME,Company_A_13,Industry A,Asia,0.4819819381378749,0.0154726047231996,ASIA,,,97
A-J2JZ2Q,Company_A_14,Industry A,North America,0.3739982356071535,0.0183048346204971,NORTHAMERICA,stable,legacy,28
A-ZL3UTG,Company_A_15,Industry A,Asia,0.4557703606171095,0.0173525364546809,ASIA,,satellite,66
A-FVDXWD,Company_A_16,Industry A,South America,0.4675997347177412,0.0267959378762021,SOUTHAMERICA,stable,legacy,23
A-YDGV2G,Company_A_17,Industry A,Asia,0.4188152157475385,0.0131165692622184,ASIA,,satellite,12
A-F8PRQ2,Company_A_18,Industry A,Europe,0.6097384713353429,0.0345693123300366,EUROPE,watchlist,core,61
A-TR3J8L,Company_A_19,Industry A,North America,0.4010322560752153,0.019296045567918,NORTHAMERICA,manual review,core,90
A-TFKTLD,Company_A_20,Industry A,North America,0.4456973959345344,0.0288396495678994,NORTHAMERICA,manual review,satellite,19
A-W69IIB,Company_A_21,Industry A,Europe,0.6202775785948131,0.021967849183781023,EUROPE,manual review,,38
A-H8WKWS,Company_A_22,Industry A,South America,0.3976169843656488,0.0222303610074104,SOUTHAMERICA,stable,satellite,49
A-89F6D0,Company_A_23,Industry A,South America,0.4405089339112094,0.0214291306980127,SOUTHAMERICA,,core,79
A-MXON5D,Company_A_24,Industry A,North America,0.4646587549777525,0.0138776548413975,NORTHAMERICA,,core,21
A-C36F0G,Company_A_25,Industry A,Asia,0.361436345436521,0.0155263649052208,ASIA,manual review,satellite,97
A-RSPF7A,Company_A_26,Industry A,Europe,0.4572467925521397,0.0232196939663842,EUROPE,watchlist,satellite,55
A-7Y1UPH,Company_A_27,Industry A,South America,0.523272203388481,0.0133680364113021,SOUTHAMERICA,,satellite,21
A-U7CO9K,Company_A_28,Industry A,Europe,0.4930492349603141,0.0266869905372137,EUROPE,stable,,93
A-RAVTFW,Company_A_29,Industry A,South America,0.4572391825302299,0.0211411416506945,SOUTHAMERICA,watchlist,core,63
A-G702PQ,Company_A_30,Industry A,North America,0.4181368128700046,0.0260292681044411,NORTHAMERICA,,satellite,81
A-QIMT1V,Company_A_31,Industry A,South America,0.6268833568473738,0.0173528028631696,SOUTHAMERICA,,,48
A-EX85JQ,Company_A_32,Industry A,North America,0.3470061934980775,0.0145160721077268,NORTHAMERICA,watchlist,,19
A-5CRVMF,Company_A_33,Industry A,Europe,0.371051433725741,0.0187736107702894,EUROPE,,legacy,24
A-FKUFQE,Company_A_34,Industry A,North America,0.4286890007992836,0.0211608494481312,NORTHAMERICA,watchlist,satellite,63
A-SY2O3L,Company_A_35,Industry A,South America,0.4500067514473131,0.020698138050460793,SOUTHAMERICA,manual review,satellite,26
A-6IIIXU,Company_A_36,Industry A,,,,,stable,core,14
A-O7YD44,Company_A_37,Industry A,South America,0.3611655452468417,0.0176423759627502,SOUTHAMERICA,,legacy,67
A-W20E3T,Company_A_38,Industry A,Asia,0.5677193578394526,0.0071667077953435,ASIA,manual review,legacy,67
A-IJCFPR,Company_A_39,Industry A,Europe,0.5881880171331348,0.0123306929754193,EUROPE,stable,legacy,39
A-PNGYIK,Company_A_40,Industry A,South America,0.4966124193590165,0.0286615580270497,SOUTHAMERICA,,satellite,58
A-84RXH2,Company_A_41,Industry A,North America,0.4553236652687364,0.0165128808834986,NORTHAMERICA,manual review,core,28
A-VZS47E,Company_A_42,Industry A,South America,0.5100695190985008,0.029103230788234,SOUTHAMERICA,manual review,legacy,94
A-0E88G2,Company_A_43,Industry A,Asia,0.5010027048718158,0.0165053478571062,ASIA,manual review,core,32
A-ZVBDSW,Company_A_44,Industry A,Europe,0.5424249628885357,0.0230438073611222,EUROPE,watchlist,legacy,57
A-0172SR,Company_A_45,Industry A,Europe,0.4027117259847115,0.0229545316139667,EUROPE,manual review,legacy,17
A-RX0P71,Company_A_46,Industry A,Europe,0.5354777244791231,0.0211643901006858,EUROPE,manual review,legacy,34
A-2NTLLF,Company_A_47,Industry A,South America,0.5299859397528236,0.0147073195901079,SOUTHAMERICA,watchlist,core,75
A-GT87M2,Company_A_48,Industry A,North America,0.4181368128700046,0.0266448029521849,NORTHAMERICA,stable,,95
A-PEJ45W,Company_A_49,Industry A,Europe,0.47283525511753005,0.0177115028452158,EUROPE,watchlist,core,50
A-03PK8Q,Company_A_50,Industry A,Asia,0.4851709284813595,0.0226209392140638,ASIA,stable,legacy,19
B-O9B5YK,Company_B_01,Industry B,South America,0.570195362622127,0.0359676900244107,SOUTHAMERICA,,legacy,90
B-5BIIQF,Company_B_02,Industry B,South America,0.5059368130477411,0.036533449426785,SOUTHAMERICA,,,13
B-AAFB3V,Company_B_03,Industry B,South America,0.3517814602557179,0.0186646871610618,SOUTHAMERICA,,legacy,82
B-87E14Z,Company_B_04,Industry B,South America,0.493086206527386,0.0444751012269857,SOUTHAMERICA,,core,86
B-QF30BG,Company_B_05,Industry B,Europe,0.5803585019378602,0.0470453888181618,EUROPE,stable,legacy,14
B-CWABH5,Company_B_06,Industry B,Asia,0.5928296991568485,0.0307649950103388,ASIA,manual review,satellite,98
B-VQT2JW,Company_B_07,Industry B,South America,0.5361921853928844,0.0442446315886971,SOUTHAMERICA,manual review,satellite,62
B-TZJXP7,Company_B_08,Industry B,Europe,0.4868862469796655,0.037441431258324,EUROPE,watchlist,core,20
B-9E8KDK,Company_B_09,Industry B,North America,0.5333070372618255,0.034818960064323,NORTHAMERICA,stable,core,46
B-4H8VVL,Company_B_10,Industry B,,,,,watchlist,core,61
B-MUVZTX,Company_B_11,Industry B,North America,0.5619171116975393,0.0326251906128119,NORTHAMERICA,manual review,core,48
B-TWSM8S,Company_B_12,Industry B,South America,0.5091520178173208,0.0390654396673085,SOUTHAMERICA,manual review,legacy,56
B-J2ILS4,Company_B_13,Industry B,Asia,0.5612485910550065,0.039659096654194,ASIA,stable,,15
B-CKUMRG,Company_B_14,Industry B,North America,0.3168593915784876,0.0326507484231694,NORTHAMERICA,stable,legacy,87
B-ONZFIV,Company_B_15,Industry B,North America,0.2035471162158348,0.0311955314444715,NORTHAMERICA,watchlist,satellite,79
B-PL1YFZ,Company_B_16,Industry B,South America,0.5099477473015739,0.0343972954372526,SOUTHAMERICA,stable,,57
B-QFZFP4,Company_B_17,Industry B,South America,0.4029850480348587,0.028786130409998,SOUTHAMERICA,,legacy,22
B-SQ4OLC,Company_B_18,Industry B,South America,0.5258228823322695,0.0459530261516893,SOUTHAMERICA,,satellite,26
B-I67BWI,Company_B_19,Industry B,Europe,0.4461228682382256,0.0430346886251349,EUROPE,stable,core,17
