entity_code,EAD,booking_date,internal_comment
B-CUJ2V2,32401684.59601034,,review
B-FVUAOK,12382703.597104952,,review
B-WMAEKB,37108845.62431498,,
B-0T5M74,34784899.20182575,,check formatting
B-O2NB6I,34693326.39213783,,new
B-5BIIQF,12968140.137972496,,legacy
B-KVE4NM,6768759.60275202,,review
B-CKUMRG,35359823.88189043,,
B-MHTAKQ,15703008.00584986,,
B-9KROIO,26662073.341073405,,legacy
B-6KZVQO,31598840.92952555,,
B-4Z0VCO,9490264.047889208,,check formatting
B-JI444W,32329342.408166677,,review
B-91X6SZ,,,check formatting
B-MUVZTX,30493123.801124316,,
B-J2ILS4,,,legacy
B-SQ4OLC,35683734.8563096,,legacy
B-TB1OZ6,23461017.052539565,,
B-JRBLOP,31066982.473586395,,legacy
B-CWABH5,33717708.035051145,,legacy
B-WWOGAM,31227350.15946521,,legacy
B-VQT2JW,15074920.661685389,,
B-TWSM8S,9124536.531704089,,legacy
B-QF6194,13341848.527672105,,
B-HVWXAK,22600622.79431236,,
B-JS2LBB,22684692.280258354,,check formatting
B-Y6J2QG,25392552.226008818,,check formatting
B-3C5B0M,18828564.31417618,,
B-ST9KM6,32541198.350750968,,review
B-IOC2XD,36960381.26215227,,legacy
B-WMAEKB,37108845.62431498,,
