entity_code,EAD,booking_date,internal_comment,industry,LGD,PD
B-CUJ2V2,32401684.59601034,,review,Industry B,0.5625085201248153,0.0437620750599563
B-FVUAOK,12382703.597104952,,review,Industry B,0.5189843392837443,0.0248162426031954
B-WMAEKB,37108845.62431498,,,Industry B,0.4479411587144589,0.0406882090142755
B-0T5M74,34784899.20182575,,check formatting,Industry B,0.5296418000808659,0.0492455131191174
B-O2NB6I,34693326.39213783,,new,Industry B,0.4559347578430257,0.0352247537177965
B-5BIIQF,12968140.137972496,,legacy,Industry B,0.5059368130477411,0.036533449426785
B-KVE4NM,6768759.60275202,,review,Industry B,0.448622896022981,0.0287784188073835
B-CKUMRG,35359823.88189043,,,Industry B,0.3168593915784876,0.0326507484231694
B-MHTAKQ,15703008.00584986,,,Industry B,0.6212518836831601,0.0327334580699937
B-MHTAKQ,15703008.00584986,,,Industry B,0.6212518836831601,0.0327334580699937
B-9KROIO,26662073.341073405,,legacy,Industry B,,
B-6KZVQO,31598840.92952555,,,Industry B,0.4810076158977743,0.027206283706547
B-4Z0VCO,9490264.047889208,,check formatting,Industry B,0.6847825012956046,0.0337807908633653
B-JI444W,32329342.408166677,,review,Industry B,0.4746622431051985,0.0338857059003395
B-91X6SZ,,,check formatting,Industry B,0.470622107984787,0.0274950688500119
B-MUVZTX,30493123.801124316,,,Industry B,0.5619171116975393,0.0326251906128119
B-J2ILS4,,,legacy,Industry B,0.5612485910550065,0.039659096654194
B-SQ4OLC,35683734.8563096,,legacy,Industry B,0.5258228823322695,0.0459530261516893
B-TB1OZ6,23461017.052539565,,,Industry B,0.3959413947487566,0.0181105376834935
B-TB1OZ6,23461017.052539565,,,Industry B,0.3959413947487566,0.0181105376834935
B-JRBLOP,31066982.473586395,,legacy,Industry B,0.397771971835267,0.0343267474415366
B-CWABH5,33717708.035051145,,legacy,Industry B,0.5928296991568485,0.0307649950103388
B-WWOGAM,31227350.15946521,,legacy,Industry B,0.4840351692577983,0.030429586987347
B-VQT2JW,15074920.661685389,,,Industry B,0.5361921853928844,0.0442446315886971
B-TWSM8S,9124536.531704089,,legacy,Industry B,0.5091520178173208,0.0390654396673085
B-QF6194,13341848.527672105,,,Industry B,0.49819304530666,0.0278945246598982
B-HVWXAK,22600622.79431236,,,Industry B,0.5835807896314338,0.037445454357923
B-JS2LBB,22684692.280258354,,check formatting,Industry B,0.4943045458786471,0.0423442153500894
B-Y6J2QG,25392552.226008818,,check formatting,Industry B,0.6498374440296733,0.0317881165479549
B-3C5B0M,18828564.31417618,,,Industry B,0.4443808041150874,0.0260411132965198
B-ST9KM6,32541198.350750968,,review,Industry B,0.3384341660679322,0.0383744678486786
B-IOC2XD,36960381.26215227,,legacy,Industry B,0.4363384716897764,0.0387879212756317
B-WMAEKB,37108845.62431498,,,Industry B,0.4479411587144589,0.0406882090142755
