entity_code,EAD,booking_date,internal_comment,ead_missing_flag,entity_name,industry,region,size_bucket,lgd,pd,lgd_missing_flag,pd_missing_flag,historical_pd,default_obs_count,return_correlation,rho,return_obs_count,weight
A-W20E3T,26938874.397447303,2025-05-07,legacy,0,Company_A_38,Industry A,Asia,Mid,0.5677193578394526,0.0071667077953435,0,0,0.0,20,0.4290004718855452,0.4290004718855452,737.0,0.03958836342458968
A-ZL3UTG,31154443.006722443,2025-05-14,review,0,Company_A_15,Industry A,Asia,Mid,0.4557703606171095,0.0173525364546809,0,0,0.05263157894736842,19,0.4739908236858367,0.4739908236858367,760.0,0.045783405566405755
A-H8WKWS,36314076.04037352,2025-03-05,,0,Company_A_22,Industry A,South America,Small,0.3976169843656488,0.0222303610074104,0,0,0.0,20,0.47315850592627257,0.47315850592627257,746.0,0.0533658095176656
A-5CRVMF,14540527.40955621,2025-03-05,,0,Company_A_33,Industry A,Europe,Large,0.371051433725741,0.0187736107702894,0,0,0.0,20,0.45310607673675535,0.45310607673675535,748.0,0.021368215872050886
A-89F6D0,8875349.051019402,2025-03-26,new,0,Company_A_23,Industry A,South America,Small,0.4405089339112094,0.0214291306980127,0,0,0.05,20,0.4693439667828355,0.4693439667828355,749.0,0.013042881397640642
A-SE4QSN,38461633.08329202,2025-06-18,check formatting,0,Company_A_02,Industry A,Europe,Mid,0.4552824558048973,0.0256362060348401,0,0,0.0,18,0.46013133567660125,0.46013133567660125,749.0,0.05652177911891037
A-7Y1UPH,10404808.080774983,2025-05-07,,0,Company_A_27,Industry A,South America,Small,0.523272203388481,0.0133680364113021,0,0,0.0,20,0.45604884614998825,0.45604884614998825,744.0,0.01529051724981722
A-2NTLLF,11918344.378912384,2025-05-21,check formatting,0,Company_A_47,Industry A,South America,,0.5299859397528236,0.0147073195901079,0,0,0.05,20,0.45029652107251983,0.45029652107251983,742.0,0.01751475365045352
A-0E88G2,15196530.8745463,2025-09-24,review,0,Company_A_43,Industry A,Asia,Large,0.5010027048718158,0.0165053478571062,0,0,0.0,20,0.4780401462280864,0.4780401462280864,754.0,0.022332254057041968
A-GT87M2,23528697.39092006,2025-03-26,,0,Company_A_48,Industry A,North America,Mid,0.4712389765718077,0.0266448029521849,1,0,0.0,18,0.5194652900802583,0.5194652900802583,749.0,0.034576894694130306
A-YDGV2G,35898894.811192736,2025-12-03,review,0,Company_A_17,Industry A,Asia,Mid,0.4188152157475385,0.0131165692622184,0,0,0.0,20,0.46040393426763454,0.46040393426763454,744.0,0.05275567469371637
A-C36F0G,31619110.795545343,2025-10-01,check formatting,0,Company_A_25,Industry A,Asia,Large,0.361436345436521,0.0155263649052208,0,0,0.05,20,0.4500550519920467,0.4500550519920467,741.0,0.04646626398967249
A-UQSUBF,29785514.38449223,2025-03-05,check formatting,0,Company_A_08,Industry A,europe,Mid,0.3807335107445405,0.0248413917729574,0,0,0.0,18,0.5003027799546729,0.5003027799546729,748.0,0.04377167920398922
A-RX0P71,11131319.874960128,2025-04-23,check formatting,0,Company_A_46,Industry A,Europe,Large,0.5354777244791231,0.0211643901006858,0,0,0.0,20,0.4381630825988707,0.4381630825988707,748.0,0.016358171841323745
A-TR3J8L,20033458.22429432,2025-03-05,review,1,Company_A_19,Industry A,North America,Large,0.4010322560752153,0.019296045567918,0,0,0.0,20,0.4739729723379011,0.4739729723379011,755.0,0.029440421790965808
A-Y21HNQ,21744172.413033728,2025-04-09,,0,Company_A_04,Industry A,Asia,Mid,0.483018608927679,0.0221541050150394,0,0,0.0,20,0.4616965990809749,0.4616965990809749,753.0,0.0319544234534048
A-VZS47E,10159908.371995503,2025-05-14,legacy,0,Company_A_42,Industry A,South America,Small,0.5100695190985008,0.029103230788234,0,0,0.1,20,0.4372943090332815,0.4372943090332815,749.0,0.014930621786825754
A-QIMT1V,29382399.74166091,2025-02-12,review,1,Company_A_31,Industry A,SouthAmerica,Mid,0.6268833568473738,0.0173528028631696,0,0,0.0,20,0.4276156354685132,0.4276156354685132,747.0,0.04317927698455232
A-FVDXWD,15791662.138349548,2025-01-01,,0,Company_A_16,Industry A,SouthAmerica,Small,0.4675997347177412,0.0267959378762021,0,0,0.0,18,0.49142754936912336,0.49142754936912336,750.0,0.023206836729249343
A-W69IIB,9454666.941516371,2025-06-11,new,0,Company_A_21,Industry A,Europe,Large,0.6202775785948131,1e-06,0,1,0.0,20,0.47038540514977933,0.47038540514977933,745.0,0.013894225327197472
A-ZVBDSW,24258389.21678901,2025-09-17,,0,Company_A_44,Industry A,Europe,Mid,0.5424249628885357,0.0230438073611222,0,0,0.0,20,0.4256819035339737,0.4256819035339737,746.0,0.03564922254139885
A-IJCFPR,29675986.878346752,2025-04-23,new,0,Company_A_39,Industry A,Europe,Mid,0.5881880171331348,0.0123306929754193,0,0,0.0,19,0.4437590174099807,0.4437590174099807,755.0,0.04361072167271661
A-0172SR,7447607.101690142,2025-11-12,review,0,Company_A_45,Industry A,Europe,Small,0.4027117259847115,0.0229545316139667,0,0,0.0,19,0.4356035085063072,0.4356035085063072,739.0,0.010944725166883844
A-PNGYIK,21839308.56171024,2025-05-14,review,0,Company_A_40,Industry A,South America,Small,0.4966124193590165,0.0286615580270497,0,0,0.0,20,0.4334318759244458,0.4334318759244458,749.0,0.032094231983377325
A-9XOOP3,32377391.834372822,2025-11-26,review,0,Company_A_11,Industry A,Asia,Mid,0.4209556922747943,0.0180913105300083,0,0,0.05,20,0.4631661161308169,0.4631661161308169,750.0,0.04758060547626119
A-03PK8Q,31179654.51333564,2025-03-26,review,0,Company_A_50,Industry A,Asia,Large,0.4851709284813595,0.0226209392140638,0,0,0.05,20,0.4489934640486317,0.4489934640486317,749.0,0.0458204554546661
A-RSPF7A,33527558.367656395,2025-07-16,review,0,Company_A_26,Industry A,Europe,Small,0.4572467925521397,0.0232196939663842,0,0,0.05263157894736842,19,0.4535747385554565,0.4535747385554565,749.0,0.04927084724533619
A-FKUFQE,20688422.160971247,2025-10-08,,0,Company_A_34,Industry A,NorthAmerica,Small,0.4286890007992836,0.0211608494481312,0,0,0.0,19,0.4406851753004678,0.4406851753004678,744.0,0.030402932323982848
A-O7YD44,33719497.892395124,2025-01-22,review,0,Company_A_37,Industry A,South America,Large,0.3611655452468417,0.0176423759627502,0,0,0.1111111111111111,18,0.44382744441276195,0.44382744441276195,750.0,0.049552914400362524
A-DT5C43,13426357.492499432,2025-12-10,review,0,Company_A_03,Industry A,Asia,Large,0.4352110109163791,0.0165953522779802,0,0,0.0,20,0.494993474987594,0.494993474987594,740.0,0.019730873385411272
