entity_code,ead,booking_date,internal_comment,portfolio_id,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,mean_return,volatility,baseline_pd
A-W20E3T,26938874.397447303,2025-05-07T00:00:00.000000000,legacy,Portfolio_1,Company_A_38,INDUSTRY A,Asia,0.5677193578394526,0.0071667077953435,Mid,manual review,legacy,67.0,0.1008181055361269,0.31227685577843817,0.0295
A-ZL3UTG,31154443.006722443,2025-05-14T00:00:00.000000000,review,Portfolio_1,Company_A_15,INDUSTRY A,Asia,0.4557703606171095,0.0173525364546809,Mid,N/A,satellite,66.0,0.4742814846887094,0.3413352371251124,0.0295
A-H8WKWS,36314076.04037352,2025-03-05T00:00:00.000000000,N/A,Portfolio_1,Company_A_22,INDUSTRY A,South America,0.3976169843656488,0.0222303610074104,Small,stable,satellite,49.0,0.08241769507704148,0.32260691164296496,0.0295
A-5CRVMF,14540527.40955621,2025-03-05T00:00:00.000000000,N/A,Portfolio_1,Company_A_33,INDUSTRY A,Europe,0.371051433725741,0.0187736107702894,Large,N/A,legacy,24.0,-0.03927173376498187,0.3144264974977966,0.0295
A-89F6D0,8875349.051019402,2025-03-26T00:00:00.000000000,new,Portfolio_1,Company_A_23,INDUSTRY A,South America,0.4405089339112094,0.0214291306980127,Small,N/A,core,79.0,0.3282148125880783,0.3252068297537631,0.0295
A-SE4QSN,38461633.08329202,2025-06-18T00:00:00.000000000,check formatting,Portfolio_1,Company_A_02,INDUSTRY A,Europe,0.4552824558048973,0.0256362060348401,Mid,N/A,satellite,30.0,-0.15467639129527475,0.34003897462259963,0.0295
A-7Y1UPH,10404808.080774983,2025-05-07T00:00:00.000000000,N/A,Portfolio_1,Company_A_27,INDUSTRY A,South America,0.523272203388481,0.0133680364113021,Small,N/A,satellite,21.0,-0.06961892018787576,0.3159764253302621,0.0295
A-2NTLLF,11918344.378912384,2025-05-21T00:00:00.000000000,check formatting,Portfolio_1,Company_A_47,INDUSTRY A,South America,0.5299859397528236,0.0147073195901079,N/A,watchlist,core,75.0,0.2035295517435902,0.315071056785554,0.0295
A-0E88G2,15196530.8745463,2025-09-24T00:00:00.000000000,review,Portfolio_1,Company_A_43,INDUSTRY_A,Asia,0.5010027048718158,0.0165053478571062,Large,manual review,core,32.0,-0.19850655278868912,0.3282901202782183,0.0295
A-GT87M2,23528697.39092006,2025-03-26T00:00:00.000000000,N/A,Portfolio_1,Company_A_48,INDUSTRY A,North America,0.470622107984787,0.0266448029521849,Mid,stable,N/A,95.0,0.16187722300500546,0.3245144926520496,0.0295
A-YDGV2G,35898894.811192736,2025-12-03T00:00:00.000000000,review,Portfolio_1,Company_A_17,INDUSTRY A,Asia,0.4188152157475385,0.0131165692622184,Mid,N/A,satellite,12.0,-0.04928327598061382,0.3191290173776634,0.0295
