entity_code,EAD,booking_date,internal_comment,ead_missing_flag,entity_name,industry,region,size_bucket,lgd,pd,lgd_missing_flag,pd_missing_flag,historical_pd,default_obs_count,return_correlation,rho,return_obs_count,weight
B-CUJ2V2,32401684.59601034,2025-10-22,review,0,Company_B_38,Industry B,North America,Mid,0.5625085201248153,0.0437620750599563,0,0,0.0,20,0.5809177371301708,0.5809177371301708,742.0,0.042270732750968563
B-FVUAOK,12382703.597104952,2025-04-02,review,0,Company_B_24,Industry B,Europe,Mid,0.5189843392837443,0.0248162426031954,0,0,0.05,20,0.5584294522024533,0.5584294522024533,730.0,0.01615428213112508
B-WMAEKB,37108845.62431498,2025-10-15,,0,Company_B_27,Industry B,North America,,0.4479411587144589,0.0406882090142755,0,0,0.05263157894736842,19,0.5490288840281243,0.5490288840281243,746.0,0.04841162166844602
B-0T5M74,34784899.20182575,2025-10-01,check formatting,0,Company_B_21,Industry B,Asia,Mid,0.5296418000808659,0.0492455131191174,0,0,0.1,20,0.5696866941754157,0.5696866941754157,742.0,0.04537983738385029
B-O2NB6I,34693326.39213783,2025-04-16,new,0,Company_B_30,Industry B,Europe,Mid,0.4559347578430257,0.0352247537177965,0,0,0.0,19,0.5853333902323338,0.5853333902323338,740.0,0.04526037292347313
B-5BIIQF,12968140.137972496,2025-09-03,legacy,0,Company_B_02,Industry B,South America,Mid,0.5033847437546465,0.1,1,1,0.1,20,0.5587325654822954,0.5587325654822954,745.0,0.016918033518443707
B-KVE4NM,6768759.60275202,2025-04-02,review,0,Company_B_22,Industry B,North America,Mid,0.448622896022981,0.0287784188073835,0,0,0.05263157894736842,19,0.5979722412393953,0.5979722412393953,752.0,0.008830418288150153
B-CKUMRG,35359823.88189043,2025-07-09,,0,Company_B_14,Industry B,NorthAmerica,Large,0.3168593915784876,0.0326507484231694,0,0,0.1,20,0.503020166277652,0.503020166277652,749.0,0.04612987516139049
B-MHTAKQ,15703008.00584986,2025-10-22,,0,Company_B_35,Industry B,South America,,0.6212518836831601,0.0327334580699937,0,0,0.05,20,0.5770666915712835,0.5770666915712835,744.0,0.020485899516574244
B-9KROIO,26662073.341073405,2025-03-05,legacy,0,Company_B_42,Industry B,,Small,0.5701663648089567,0.0277544532017155,0,0,0.05,20,0.544984493410125,0.544984493410125,746.0,0.034782925358331815
B-6KZVQO,31598840.929525554,2025-04-30,,0,Company_B_32,Industry B,Europe,Small,0.4810076158977743,0.027206283706547,0,0,0.15,20,0.5617939080256282,0.5617939080256282,739.0,0.04122335541581097
B-4Z0VCO,9490264.047889208,2025-10-22,check formatting,0,Company_B_34,Industry B,Asia,Mid,0.6847825012956046,0.0337807908633653,0,0,0.0,20,0.5741925932360358,0.5741925932360358,737.0,0.012380850573239802
B-JI444W,32329342.40816668,2025-06-18,review,0,Company_B_20,Industry B,North America,Small,0.4746622431051985,0.0338857059003395,0,0,0.0,20,0.5364903282468055,0.5364903282468055,744.0,0.0421763562601445
B-91X6SZ,31998339.914025277,2025-12-17,check formatting,1,Company_B_25,Industry B,Asia,Small,0.470622107984787,0.0274950688500119,0,0,0.05263157894736842,19,0.5478712453494186,0.5478712453494186,749.0,0.04174453556488725
