entity_code,EAD,booking_date,internal_comment,industry,region,lgd,base_pd_hint,PD,default_threshold
B-CUJ2V2,32401684.59601034,2025-10-22T00:00:00.000000000,review,INDUSTRY_B,North America,0.5625085201248153,0.0437620750599563,0.0437620750599563,-1.7086049554801843
B-FVUAOK,12382703.597104952,2025-04-02T00:00:00.000000000,review,INDUSTRY_B,Europe,0.5189843392837443,0.0248162426031954,0.0248162426031954,-1.9631178215918839
B-WMAEKB,37108845.62431498,2025-10-15T00:00:00.000000000,,INDUSTRY_B,North America,0.4479411587144589,0.0406882090142755,0.0406882090142755,-1.742755010475586
B-0T5M74,34784899.20182575,2025-10-01T00:00:00.000000000,check formatting,INDUSTRY_B,Asia,0.5296418000808659,0.0492455131191174,0.0492455131191174,-1.652213544716767
B-O2NB6I,34693326.39213783,2025-04-16T00:00:00.000000000,new,INDUSTRY_B,Europe,0.4559347578430257,0.0352247537177965,0.0352247537177965,-1.8090096290176951
B-5BIIQF,12968140.137972496,2025-09-03T00:00:00.000000000,legacy,INDUSTRY_B,South America,0.493086206527386,0.04,0.04,-1.7506860712521697
B-KVE4NM,6768759.60275202,2025-04-02T00:00:00.000000000,review,INDUSTRY_B,North America,0.448622896022981,0.0287784188073835,0.0287784188073835,-1.899058098030243
B-CKUMRG,35359823.88189043,2025-07-09T00:00:00.000000000,,INDUSTRY_B,NorthAmerica,0.3168593915784876,0.0326507484231694,0.0326507484231694,-1.8431884761226514
B-MHTAKQ,15703008.00584986,2025-10-22T00:00:00.000000000,,INDUSTRY_B,South America,0.6212518836831601,0.0327334580699937,0.0327334580699937,-1.8420562927057613
B-9KROIO,26662073.341073405,2025-03-05T00:00:00.000000000,legacy,INDUSTRY_B,,0.5701663648089567,0.0277544532017155,0.0277544532017155,-1.914871396718424
B-6KZVQO,31598840.92952555,2025-04-30T00:00:00.000000000,,INDUSTRY_B,Europe,0.4810076158977743,0.027206283706547,0.027206283706547,-1.923537613693764
B-4Z0VCO,9490264.047889208,2025-10-22T00:00:00.000000000,check formatting,INDUSTRY_B,Asia,0.6847825012956046,0.0337807908633653,0.0337807908633653,-1.827919848362243
B-JI444W,32329342.408166677,2025-06-18T00:00:00.000000000,review,INDUSTRY_B,North America,0.4746622431051985,0.0338857059003395,0.0338857059003395,-1.8265237190387953
B-91X6SZ,30493123.801124316,2025-12-17T00:00:00.000000000,check formatting,INDUSTRY_B,Asia,0.470622107984787,0.0274950688500119,0.0274950688500119,-1.9189541419964846
B-MUVZTX,30493123.801124316,2025-01-01T00:00:00.000000000,,INDUSTRY_B,North America,0.5619171116975393,0.0326251906128119,0.0326251906128119,-1.843538806357206
B-J2ILS4,30493123.801124316,2025-09-24T00:00:00.000000000,legacy,INDUSTRY_B,asia,0.5612485910550065,0.039659096654194,0.039659096654194,-1.7546558431222414
B-SQ4OLC,35683734.8563096,2025-10-29T00:00:00.000000000,legacy,INDUSTRY_B,South America,0.5258228823322695,0.0459530261516893,0.0459530261516893,-1.6854278596827776
B-TB1OZ6,23461017.052539565,2025-12-03T00:00:00.000000000,,INDUSTRY_B,North America,0.3959413947487566,0.0181105376834935,0.0181105376834935,-2.094436935940635
B-JRBLOP,31066982.473586395,2025-02-26T00:00:00.000000000,legacy,INDUSTRY_B,North America,0.397771971835267,0.0343267474415366,0.0343267474415366,-1.8206932759146208
B-CWABH5,33717708.035051145,2025-12-31T00:00:00.000000000,legacy,INDUSTRY_B,Asia,0.5928296991568485,0.0307649950103388,0.0307649950103388,-1.8696676104489598
B-WWOGAM,31227350.15946521,2025-05-21T00:00:00.000000000,legacy,INDUSTRY_B,Asia,0.4840351692577983,0.030429586987347,0.030429586987347,-1.8745171974845058
B-VQT2JW,15074920.661685389,2025-05-07T00:00:00.000000000,,INDUSTRY_B,South America,0.5361921853928844,0.0442446315886971,0.0442446315886971,-1.7034212531155617
B-TWSM8S,9124536.531704089,2025-05-07T00:00:00.000000000,legacy,INDUSTRY_B,South America,0.5091520178173208,0.0390654396673085,0.0390654396673085,-1.7616356337322587
B-QF6194,13341848.527672105,2025-08-20T00:00:00.000000000,,INDUSTRY_B,Asia,0.493086206527386,0.0278945246598982,0.0278945246598982,-1.9126798577877477
B-HVWXAK,22600622.79431236,2025-08-27T00:00:00.000000000,,INDUSTRY_B,South America,0.5835807896314338,0.037445454357923,0.037445454357923,-1.7811318803275062
B-JS2LBB,22684692.280258354,2025-06-25T00:00:00.000000000,check formatting,INDUSTRY_B,South America,0.4943045458786471,0.0423442153500894,0.0423442153500894,-1.7241075426294237
B-Y6J2QG,25392552.226008818,2025-01-22T00:00:00.000000000,check formatting,INDUSTRY_B,europe,0.6498374440296733,0.0317881165479549,0.0317881165479549,-1.8551400276655596
B-3C5B0M,18828564.31417618,2025-12-31T00:00:00.000000000,,INDUSTRY_B,Asia,0.4443808041150874,0.0260411132965198,0.0260411132965198,-1.94245347851876
B-ST9KM6,32541198.350750968,2025-03-19T00:00:00.000000000,review,INDUSTRY_B,Asia,0.3384341660679322,0.0383744678486786,0.0383744678486786,-1.7698691822853576
B-IOC2XD,36960381.26215227,2025-01-29T00:00:00.000000000,legacy,INDUSTRY_B,Europe,0.4363384716897764,0.0387879212756317,0.0387879212756317,-1.7649281464616418
