entity_code,EAD,booking_date,internal_comment,industry,region,lgd,base_pd_hint
A-ZVBDSW,31001720.84503288,2025-12-17T00:00:00.000000000,legacy,INDUSTRY_A,Europe,0.5424249628885357,0.0230438073611222
A-OL6NCQ,13297172.694463212,2025-07-02T00:00:00.000000000,check formatting,INDUSTRY_A,South America,0.44088420338761,0.0157992176151873
A-PEJ45W,34041246.854371905,2025-02-26T00:00:00.000000000,review,INDUSTRY_A,Europe,0.4557703606171095,0.0177115028452158
A-0172SR,24102940.00088122,2025-10-08T00:00:00.000000000,check formatting,INDUSTRY_A,Europe,0.4027117259847115,0.0229545316139667
A-DT5C43,31614758.981461614,2025-07-02T00:00:00.000000000,check formatting,INDUSTRY_A,Asia,0.4352110109163791,0.0165953522779802
A-FVDXWD,21539459.41679,2025-11-12T00:00:00.000000000,check formatting,INDUSTRY_A,SouthAmerica,0.4675997347177412,0.0267959378762021
A-0E88G2,22471797.889777817,2025-05-14T00:00:00.000000000,review,INDUSTRY_A,Asia,0.5010027048718158,0.0165053478571062
A-VZS47E,22272730.31527194,2025-12-31T00:00:00.000000000,,INDUSTRY_A,South America,0.5100695190985008,0.029103230788234
A-TR3J8L,37478971.28580385,2025-10-22T00:00:00.000000000,check formatting,INDUSTRY_A,North America,0.4010322560752153,0.019296045567918
A-Y21HNQ,22213440.349451847,2025-03-19T00:00:00.000000000,legacy,INDUSTRY_A,Asia,0.483018608927679,0.0221541050150394
B-0T5M74,23503013.833790183,2025-09-24T00:00:00.000000000,new,INDUSTRY_B,Asia,0.5296418000808659,0.0492455131191174
B-WMAEKB,26069893.72346353,2025-04-16T00:00:00.000000000,legacy,INDUSTRY_B,North America,0.4479411587144589,0.0406882090142755
B-TZJXP7,30813029.8054204,2025-05-07T00:00:00.000000000,,INDUSTRY_B,Europe,0.4868862469796655,0.037441431258324
B-O2NB6I,7514761.7420182,2025-04-02T00:00:00.000000000,review,INDUSTRY_B,Europe,0.4559347578430257,0.0352247537177965
B-MUVZTX,23049060.348269023,2025-09-10T00:00:00.000000000,new,INDUSTRY_B,North America,0.5619171116975393,0.0326251906128119
B-QFZFP4,21855705.622211523,2025-04-02T00:00:00.000000000,review,INDUSTRY_B,South America,0.4029850480348587,0.028786130409998
B-IOC2XD,22272730.31527194,2025-08-20T00:00:00.000000000,new,INDUSTRY_B,Europe,0.4363384716897764,0.0387879212756317
B-QF30BG,22272730.31527194,2025-07-30T00:00:00.000000000,review,INDUSTRY_B,Europe,0.5803585019378602,0.0470453888181618
B-JS2LBB,21391218.714301582,2025-10-01T00:00:00.000000000,,INDUSTRY_B,South America,0.4943045458786471,0.0423442153500894
B-4Z0VCO,22272730.31527194,2025-12-31T00:00:00.000000000,,INDUSTRY_B,Asia,0.6847825012956046,0.0337807908633653
B-TWSM8S,20770176.226030856,2025-01-01T00:00:00.000000000,review,INDUSTRY_B,South America,0.5091520178173208,0.0390654396673085
B-BN8BND,11330955.06127316,2025-12-31T00:00:00.000000000,,INDUSTRY_B,south america,0.357626556460094,0.0381242550328014
B-JI444W,12592064.298202593,2025-02-05T00:00:00.000000000,,INDUSTRY_B,North America,0.4746622431051985,0.0338857059003395
B-KVE4NM,8331563.841794094,2025-07-09T00:00:00.000000000,,INDUSTRY_B,North America,0.448622896022981,0.0287784188073835
B-7PFB78,5019884.524063055,2025-05-07T00:00:00.000000000,check formatting,INDUSTRY_B,North America,0.4217583666038554,0.0187575079132969
B-TB1OZ6,22272730.31527194,2025-08-20T00:00:00.000000000,legacy,INDUSTRY_B,North America,0.3959413947487566,0.0181105376834935
B-J2ILS4,31923490.34543775,2025-09-24T00:00:00.000000000,review,INDUSTRY_B,asia,0.5612485910550065,0.039659096654194
B-9KROIO,30671325.497994255,2025-11-12T00:00:00.000000000,legacy,INDUSTRY_B,,0.5701663648089567,0.0277544532017155
B-FVUAOK,6125218.073099757,2025-05-28T00:00:00.000000000,review,INDUSTRY_B,Europe,0.5189843392837443,0.0248162426031954
B-I67BWI,24949401.62579115,2025-12-10T00:00:00.000000000,new,INDUSTRY_B,Europe,0.4461228682382256,0.0430346886251349
B-3C5B0M,10399909.38947166,2025-04-30T00:00:00.000000000,review,INDUSTRY_B,Asia,0.4443808041150874,0.0260411132965198
B-ZWRIDU,37937669.966764405,2025-03-12T00:00:00.000000000,new,INDUSTRY_B,Europe,0.493086206527386,0.0356932437470504
B-VQT2JW,10857774.987546274,2025-05-21T00:00:00.000000000,,INDUSTRY_B,South America,0.5361921853928844,0.0442446315886971
B-WWOGAM,22272730.31527194,2025-07-16T00:00:00.000000000,check formatting,INDUSTRY_B,Asia,0.4840351692577983,0.030429586987347
B-JRBLOP,16418342.675741987,2025-09-03T00:00:00.000000000,check formatting,INDUSTRY_B,North America,0.397771971835267,0.0343267474415366
B-AAFB3V,27454646.40875233,2025-11-05T00:00:00.000000000,review,INDUSTRY_B,South America,0.3517814602557179,0.0186646871610618
B-6KZVQO,19429050.87624263,2025-03-19T00:00:00.000000000,new,INDUSTRY_B,Europe,0.4810076158977743,0.027206283706547
B-PL1YFZ,31587506.830723815,2025-04-23T00:00:00.000000000,legacy,INDUSTRY_B,South America,0.5099477473015739,0.0343972954372526
B-4H8VVL,13073769.386475025,2025-12-10T00:00:00.000000000,,INDUSTRY_B,,0.4706808413351238,0.0485606181370066
B-GFVBLE,36702714.851999104,2025-06-11T00:00:00.000000000,,INDUSTRY_B,Europe,0.515811908490511,0.0404443717235944
