entity_code,entity_name,industry,region,PD,LGD,EAD,rho,EL,portfolio
A-W20E3T,Company_A_38,Industry A,Asia,0.0071667077953435,0.5677193578394526,26938874.397447303,0.41620029330452996,109605.62573964821,Portfolio 1
A-ZL3UTG,Company_A_15,Industry A,Asia,0.0173525364546809,0.4557703606171095,31154443.006722443,0.4442096372574661,246393.3802206136,Portfolio 1
A-H8WKWS,Company_A_22,Industry A,South America,0.0222303610074104,0.3976169843656488,36314076.04037352,0.4659715864731166,320986.25901727425,Portfolio 1
A-5CRVMF,Company_A_33,Industry A,Europe,0.0187736107702894,0.371051433725741,14540527.40955621,0.4280250871547085,101288.95322119683,Portfolio 1
A-89F6D0,Company_A_23,Industry A,South America,0.0214291306980127,0.4405089339112094,8875349.051019402,0.44382677302924045,83780.8411711437,Portfolio 1
A-SE4QSN,Company_A_02,Industry A,Europe,0.0256362060348401,0.4552824558048973,38461633.08329202,0.43364332632450386,448913.21366975334,Portfolio 1
A-7Y1UPH,Company_A_27,Industry A,South America,0.0133680364113021,0.523272203388481,10404808.080774983,0.4262939214103479,72782.90053733453,Portfolio 1
A-2NTLLF,Company_A_47,Industry A,South America,0.0147073195901079,0.5299859397528236,11918344.378912384,0.4491955245905793,92899.59229864666,Portfolio 1
A-0E88G2,Company_A_43,Industry A,Asia,0.0165053478571062,0.5010027048718158,15196530.8745463,0.47397832969982173,125663.51662797101,Portfolio 1
A-GT87M2,Company_A_48,Industry A,North America,0.0266448029521849,0.470622107984787,23528697.39092006,0.4945669764425157,295041.2380663468,Portfolio 1
A-YDGV2G,Company_A_17,Industry A,Asia,0.0131165692622184,0.4188152157475385,35898894.811192736,0.4475769251616066,197207.6631317495,Portfolio 1
A-C36F0G,Company_A_25,Industry A,Asia,0.0155263649052208,0.361436345436521,31619110.795545343,0.45710311845585927,177439.89164133297,Portfolio 1
A-UQSUBF,Company_A_08,Industry A,Europe,0.0248413917729574,0.3807335107445405,29785514.38449223,0.47118500717649425,281709.9147530996,Portfolio 1
A-RX0P71,Company_A_46,Industry A,Europe,0.0211643901006858,0.5354777244791231,11131319.874960128,0.42144947140845573,126151.90991217548,Portfolio 1
A-Y21HNQ,Company_A_04,Industry A,Asia,0.0221541050150394,0.483018608927679,21744172.413033728,0.4421175605195504,232681.01834947368,Portfolio 1
A-VZS47E,Company_A_42,Industry A,South America,0.029103230788234,0.5100695190985008,10159908.371995503,0.4299445937029618,150820.4964852758,Portfolio 1
A-FVDXWD,Company_A_16,Industry A,South America,0.0267959378762021,0.4675997347177412,15791662.138349548,0.47081262670590956,197865.94887284332,Portfolio 1
A-W69IIB,Company_A_21,Industry A,Europe,0.0267414642067079,0.6202775785948131,9454666.941516371,0.43677654719400305,156825.7959644909,Portfolio 1
A-ZVBDSW,Company_A_44,Industry A,Europe,0.0230438073611222,0.5424249628885357,24258389.216789015,0.40953121160386674,303218.61787240615,Portfolio 1
A-IJCFPR,Company_A_39,Industry A,Europe,0.0123306929754193,0.5881880171331348,29675986.878346752,0.41186201633152786,215232.98422864903,Portfolio 1
A-0172SR,Company_A_45,Industry A,Europe,0.0229545316139667,0.4027117259847115,7447607.101690142,0.4117130003962028,68846.11979519608,Portfolio 1
A-PNGYIK,Company_A_40,Industry A,South America,0.0286615580270497,0.4966124193590165,21839308.56171024,0.4188496716279491,310853.8534138782,Portfolio 1
A-9XOOP3,Company_A_11,Industry A,Asia,0.0180913105300083,0.4209556922747943,32377391.834372822,0.4433585317497692,246574.56515167042,Portfolio 1
A-03PK8Q,Company_A_50,Industry A,Asia,0.0226209392140638,0.4851709284813595,31179654.51333564,0.41593128253395273,342197.39678075875,Portfolio 1
A-RSPF7A,Company_A_26,Industry A,Europe,0.0232196939663842,0.4572467925521397,33527558.367656395,0.4307501995156064,355966.46555900335,Portfolio 1
A-FKUFQE,Company_A_34,Industry A,North America,0.0211608494481312,0.4286890007992836,20688422.160971247,0.4351913016759551,187673.437023901,Portfolio 1
