entity_code,EAD,booking_date,entity_name,industry,region,lgd,base_pd_hint,portfolio
A-W20E3T,26938874.397447303,2025-05-07,Company_A_38,Industry A,Asia,0.5677193578394526,0.0071667077953435,Portfolio 1
A-ZL3UTG,31154443.006722443,2025-05-14,Company_A_15,Industry A,Asia,0.4557703606171095,0.0173525364546809,Portfolio 1
A-H8WKWS,36314076.04037352,2025-03-05,Company_A_22,Industry A,South America,0.3976169843656488,0.0222303610074104,Portfolio 1
A-5CRVMF,14540527.40955621,2025-03-05,Company_A_33,Industry A,Europe,0.371051433725741,0.0187736107702894,Portfolio 1
A-89F6D0,8875349.051019402,2025-03-26,Company_A_23,Industry A,South America,0.4405089339112094,0.0214291306980127,Portfolio 1
A-SE4QSN,38461633.08329202,2025-06-18,Company_A_02,Industry A,Europe,0.4552824558048973,0.0256362060348401,Portfolio 1
A-7Y1UPH,10404808.080774983,2025-05-07,Company_A_27,Industry A,South America,0.523272203388481,0.0133680364113021,Portfolio 1
A-2NTLLF,11918344.378912384,2025-05-21,Company_A_47,Industry A,South America,0.5299859397528236,0.0147073195901079,Portfolio 1
A-0E88G2,15196530.8745463,2025-09-24,Company_A_43,Industry A,Asia,0.5010027048718158,0.0165053478571062,Portfolio 1
A-GT87M2,23528697.39092006,2025-03-26,Company_A_48,Industry A,North America,0.4557703606171095,0.0266448029521849,Portfolio 1
A-YDGV2G,35898894.811192736,2025-12-03,Company_A_17,Industry A,Asia,0.4188152157475385,0.0131165692622184,Portfolio 1
A-C36F0G,31619110.795545343,2025-10-01,Company_A_25,Industry A,Asia,0.361436345436521,0.0155263649052208,Portfolio 1
A-UQSUBF,29785514.38449223,2025-03-05,Company_A_08,Industry A,Europe,0.3807335107445405,0.0248413917729574,Portfolio 1
A-RX0P71,11131319.874960128,2025-04-23,Company_A_46,Industry A,Europe,0.5354777244791231,0.0211643901006858,Portfolio 1
A-TR3J8L,22684002.97631515,2025-03-05,Company_A_19,Industry A,North America,0.4010322560752153,0.019296045567918,Portfolio 1
A-Y21HNQ,21744172.413033728,2025-04-09,Company_A_04,Industry A,Asia,0.483018608927679,0.0221541050150394,Portfolio 1
A-VZS47E,10159908.371995503,2025-05-14,Company_A_42,Industry A,South America,0.5100695190985008,0.029103230788234,Portfolio 1
A-QIMT1V,22684002.97631515,2025-02-12,Company_A_31,Industry A,Southamerica,0.6268833568473738,0.0173528028631696,Portfolio 1
A-FVDXWD,15791662.138349548,2025-01-01,Company_A_16,Industry A,Southamerica,0.4675997347177412,0.0267959378762021,Portfolio 1
A-W69IIB,9454666.941516371,2025-06-11,Company_A_21,Industry A,Europe,0.6202775785948131,0.019296045567918,Portfolio 1
A-ZVBDSW,24258389.216789015,2025-09-17,Company_A_44,Industry A,Europe,0.5424249628885357,0.0230438073611222,Portfolio 1
A-IJCFPR,29675986.878346752,2025-04-23,Company_A_39,Industry A,Europe,0.5881880171331348,0.0123306929754193,Portfolio 1
A-0172SR,7447607.101690142,2025-11-12,Company_A_45,Industry A,Europe,0.4027117259847115,0.0229545316139667,Portfolio 1
A-PNGYIK,21839308.56171024,2025-05-14,Company_A_40,Industry A,South America,0.4966124193590165,0.0286615580270497,Portfolio 1
A-9XOOP3,32377391.834372822,2025-11-26,Company_A_11,Industry A,Asia,0.4209556922747943,0.0180913105300083,Portfolio 1
A-03PK8Q,31179654.51333564,2025-03-26,Company_A_50,Industry A,Asia,0.4851709284813595,0.0226209392140638,Portfolio 1
A-RSPF7A,33527558.367656395,2025-07-16,Company_A_26,Industry A,Europe,0.4572467925521397,0.0232196939663842,Portfolio 1
A-FKUFQE,20688422.160971247,2025-10-08,Company_A_34,Industry A,Northamerica,0.4286890007992836,0.0211608494481312,Portfolio 1
A-O7YD44,33719497.892395124,2025-01-22,Company_A_37,Industry A,South America,0.3611655452468417,0.0176423759627502,Portfolio 1
A-DT5C43,13426357.492499432,2025-12-10,Company_A_03,Industry A,Asia,0.4352110109163791,0.0165953522779802,Portfolio 1
B-CUJ2V2,32401684.59601034,2025-10-22,Company_B_38,Industry B,North America,0.5625085201248153,0.0437620750599563,Portfolio 2
B-FVUAOK,12382703.597104952,2025-04-02,Company_B_24,Industry B,Europe,0.5189843392837443,0.0248162426031954,Portfolio 2
B-WMAEKB,37108845.62431498,2025-10-15,Company_B_27,Industry B,North America,0.4479411587144589,0.0406882090142755,Portfolio 2
B-0T5M74,34784899.20182575,2025-10-01,Company_B_21,Industry B,Asia,0.5296418000808659,0.0492455131191174,Portfolio 2
B-O2NB6I,34693326.39213783,2025-04-16,Company_B_30,Industry B,Europe,0.4559347578430257,0.0352247537177965,Portfolio 2
B-5BIIQF,12968140.137972496,2025-09-03,Company_B_02,Industry B,South America,0.493086206527386,0.034608127750787795,Portfolio 2
B-KVE4NM,6768759.60275202,2025-04-02,Company_B_22,Industry B,North America,0.448622896022981,0.0287784188073835,Portfolio 2
B-CKUMRG,35359823.88189043,2025-07-09,Company_B_14,Industry B,Northamerica,0.3168593915784876,0.0326507484231694,Portfolio 2
B-MHTAKQ,15703008.00584986,2025-10-22,Company_B_35,Industry B,South America,0.6212518836831601,0.0327334580699937,Portfolio 2
B-9KROIO,26662073.341073405,2025-03-05,Company_B_42,Industry B,Unknown,0.5701663648089567,0.0277544532017155,Portfolio 2
B-6KZVQO,31598840.92952555,2025-04-30,Company_B_32,Industry B,Europe,0.4810076158977743,0.027206283706547,Portfolio 2
B-4Z0VCO,9490264.047889208,2025-10-22,Company_B_34,Industry B,Asia,0.6847825012956046,0.0337807908633653,Portfolio 2
B-JI444W,32329342.408166677,2025-06-18,Company_B_20,Industry B,North America,0.4746622431051985,0.0338857059003395,Portfolio 2
B-91X6SZ,28577598.57109886,2025-12-17,Company_B_25,Industry B,Asia,0.470622107984787,0.0274950688500119,Portfolio 2
B-MUVZTX,30493123.801124316,2025-01-01,Company_B_11,Industry B,North America,0.5619171116975393,0.0326251906128119,Portfolio 2
