entity_code,EAD,booking_date,entity_name,industry,region,lgd,base_pd_hint,portfolio,pd_1y,rho,expected_loss_i
A-W20E3T,26938874.397447303,2025-05-07,Company_A_38,Industry A,Asia,0.5677193578394526,0.0071667077953435,Portfolio 1,0.0071667077953435,0.2038606382837203,109605.6257396482
A-ZL3UTG,31154443.006722443,2025-05-14,Company_A_15,Industry A,Asia,0.4557703606171095,0.0173525364546809,Portfolio 1,0.0173525364546809,0.17039363714820166,246393.38022061362
A-H8WKWS,36314076.04037352,2025-03-05,Company_A_22,Industry A,South America,0.3976169843656488,0.0222303610074104,Portfolio 1,0.0222303610074104,0.15948708642127854,320986.25901727425
A-5CRVMF,14540527.40955621,2025-03-05,Company_A_33,Industry A,Europe,0.371051433725741,0.0187736107702894,Portfolio 1,0.0187736107702894,0.16693723127152926,101288.95322119683
A-89F6D0,8875349.051019402,2025-03-26,Company_A_23,Industry A,South America,0.4405089339112094,0.0214291306980127,Portfolio 1,0.0214291306980127,0.1611011132652631,83780.8411711437
A-SE4QSN,38461633.08329202,2025-06-18,Company_A_02,Industry A,Europe,0.4552824558048973,0.0256362060348401,Portfolio 1,0.0256362060348401,0.15330413092318923,448913.2136697534
A-7Y1UPH,10404808.080774983,2025-05-07,Company_A_27,Industry A,South America,0.523272203388481,0.0133680364113021,Portfolio 1,0.0133680364113021,0.1815032440509317,72782.90053733453
A-2NTLLF,11918344.378912384,2025-05-21,Company_A_47,Industry A,South America,0.5299859397528236,0.0147073195901079,Portfolio 1,0.0147073195901079,0.17751960022955846,92899.59229864666
A-0E88G2,15196530.8745463,2025-09-24,Company_A_43,Industry A,Asia,0.5010027048718158,0.0165053478571062,Portfolio 1,0.0165053478571062,0.17257413926691473,125663.516627971
A-GT87M2,23528697.39092006,2025-03-26,Company_A_48,Industry A,North America,0.4557703606171095,0.0266448029521849,Portfolio 1,0.0266448029521849,0.15166625475695739,285730.4176512765
A-YDGV2G,35898894.811192736,2025-12-03,Company_A_17,Industry A,Asia,0.4188152157475385,0.0131165692622184,Portfolio 1,0.0131165692622184,0.18228142826526478,197207.6631317495
A-C36F0G,31619110.795545343,2025-10-01,Company_A_25,Industry A,Asia,0.361436345436521,0.0155263649052208,Portfolio 1,0.0155263649052208,0.17521162326549805,177439.89164133297
A-UQSUBF,29785514.38449223,2025-03-05,Company_A_08,Industry A,Europe,0.3807335107445405,0.0248413917729574,Portfolio 1,0.0248413917729574,0.15465431171570942,281709.9147530996
A-RX0P71,11131319.874960128,2025-04-23,Company_A_46,Industry A,Europe,0.5354777244791231,0.0211643901006858,Portfolio 1,0.0211643901006858,0.16164878671714084,126151.90991217547
