entity_code,entity_name,industry,region,lgd,base_pd_hint
A-D1XPP4,Company_A_01,Industry A,Europe,0.2939171849076931,0.0134891024656884
A-SE4QSN,Company_A_02,Industry A,Europe,0.4552824558048973,0.0256362060348401
A-DT5C43,Company_A_03,Industry A,Asia,0.4352110109163791,0.0165953522779802
A-Y21HNQ,Company_A_04,Industry A,Asia,0.483018608927679,0.0221541050150394
A-OL6NCQ,Company_A_05,Industry A,South America,0.44088420338761,0.0157992176151873
A-7PF3WZ,Company_A_06,Industry A,Europe,0.3967592234169044,0.0211608066153336
A-IYWF3H,Company_A_07,Industry A,South America,0.4731295518951987,0.0231564411291927
A-UQSUBF,Company_A_08,Industry A,Europe,0.3807335107445405,0.0248413917729574
A-UWUTDU,Company_A_09,Industry A,Southamerica,0.422101994220125,0.0176882410366771
A-94BI3C,Company_A_10,Industry A,Unknown,0.4613940588856452,0.0234524267703388
A-9XOOP3,Company_A_11,Industry A,Asia,0.4209556922747943,0.0180913105300083
A-ZF6S7F,Company_A_12,Industry A,Asia,0.5032308087178229,0.019296045567918
A-VN8DME,Company_A_13,Industry A,Asia,0.4819819381378749,0.0154726047231996
A-J2JZ2Q,Company_A_14,Industry A,North America,0.3739982356071535,0.0183048346204971
A-ZL3UTG,Company_A_15,Industry A,Asia,0.4557703606171095,0.0173525364546809
A-FVDXWD,Company_A_16,Industry A,Southamerica,0.4675997347177412,0.0267959378762021
A-YDGV2G,Company_A_17,Industry A,Asia,0.4188152157475385,0.0131165692622184
A-F8PRQ2,Company_A_18,Industry A,Europe,0.6097384713353429,0.0345693123300366
A-TR3J8L,Company_A_19,Industry A,North America,0.4010322560752153,0.019296045567918
A-TFKTLD,Company_A_20,Industry A,North America,0.4456973959345344,0.0288396495678994
A-W69IIB,Company_A_21,Industry A,Europe,0.6202775785948131,0.019296045567918
A-H8WKWS,Company_A_22,Industry A,South America,0.3976169843656488,0.0222303610074104
A-89F6D0,Company_A_23,Industry A,South America,0.4405089339112094,0.0214291306980127
A-MXON5D,Company_A_24,Industry A,North America,0.4646587549777525,0.0138776548413975
A-C36F0G,Company_A_25,Industry A,Asia,0.361436345436521,0.0155263649052208
A-RSPF7A,Company_A_26,Industry A,Europe,0.4572467925521397,0.0232196939663842
A-7Y1UPH,Company_A_27,Industry A,South America,0.523272203388481,0.0133680364113021
A-U7CO9K,Company_A_28,Industry A,Europe,0.4930492349603141,0.0266869905372137
A-RAVTFW,Company_A_29,Industry A,Southamerica,0.4572391825302299,0.0211411416506945
A-G702PQ,Company_A_30,Industry A,North America,0.4557703606171095,0.0260292681044411
