portfolio,simulation_id,loss
Portfolio 1,1,0.0
Portfolio 1,2,0.0
Portfolio 1,3,0.0
Portfolio 1,4,0.0
Portfolio 1,5,6316554.945955662
Portfolio 1,6,9097016.890408562
Portfolio 1,7,0.0
Portfolio 1,8,0.0
Portfolio 1,9,0.0
Portfolio 1,10,0.0
Portfolio 1,11,0.0
Portfolio 1,12,0.0
Portfolio 1,13,0.0
Portfolio 1,14,26017403.368546933
Portfolio 1,15,5182259.577388579
Portfolio 1,16,0.0
Portfolio 1,17,8868899.02430052
Portfolio 1,18,0.0
Portfolio 1,19,5395283.542444266
Portfolio 1,20,5960573.837092887
Portfolio 1,21,0.0
Portfolio 1,22,0.0
Portfolio 1,23,0.0
Portfolio 1,24,21569354.756669484
Portfolio 1,25,18116342.98404292
Portfolio 1,26,19621352.982586756
Portfolio 1,27,5182259.577388579
Portfolio 1,28,0.0
Portfolio 1,29,0.0
Portfolio 1,30,0.0
Portfolio 1,31,0.0
Portfolio 1,32,0.0
Portfolio 1,33,28452076.34448889
Portfolio 1,34,0.0
Portfolio 1,35,0.0
Portfolio 1,36,11340343.460939737
Portfolio 1,37,7613503.072815756
Portfolio 1,38,28285817.8006155
Portfolio 1,39,8959812.54747052
Portfolio 1,40,15035003.375447877
Portfolio 1,41,15127461.929963065
Portfolio 1,42,15330368.52571554
Portfolio 1,43,0.0
Portfolio 1,44,5960573.837092887
Portfolio 1,45,0.0
Portfolio 1,46,0.0
Portfolio 1,47,5960573.837092887
Portfolio 1,48,5182259.577388579
Portfolio 1,49,0.0
Portfolio 1,50,5182259.577388579
Portfolio 1,51,17455059.878443703
Portfolio 1,52,0.0
Portfolio 1,53,0.0
Portfolio 1,54,0.0
Portfolio 1,55,10845671.861959005
Portfolio 1,56,0.0
Portfolio 1,57,6316554.945955662
Portfolio 1,58,0.0
Portfolio 1,59,6316554.945955662
Portfolio 1,60,0.0
Portfolio 1,61,0.0
Portfolio 1,62,22511638.956607513
Portfolio 1,63,6316554.945955662
Portfolio 1,64,25560567.393467996
Portfolio 1,65,0.0
Portfolio 1,66,5395283.542444266
Portfolio 1,67,14439093.40519818
Portfolio 1,68,0.0
Portfolio 1,69,0.0
Portfolio 1,70,5864517.916904203
Portfolio 1,71,0.0
Portfolio 1,72,0.0
Portfolio 1,73,0.0
Portfolio 1,74,0.0
Portfolio 1,75,18602902.720913835
Portfolio 1,76,0.0
Portfolio 1,77,0.0
Portfolio 1,78,27849671.32621894
Portfolio 1,79,11340343.460939737
Portfolio 1,80,6316554.945955662
Portfolio 1,81,3909670.548554421
Portfolio 1,82,0.0
Portfolio 1,83,0.0
Portfolio 1,84,0.0
Portfolio 1,85,0.0
Portfolio 1,86,0.0
Portfolio 1,87,0.0
Portfolio 1,88,0.0
Portfolio 1,89,0.0
Portfolio 1,90,5182259.577388579
Portfolio 1,91,0.0
Portfolio 1,92,0.0
Portfolio 1,93,16253076.050944965
Portfolio 1,94,7613503.072815756
Portfolio 1,95,0.0
Portfolio 1,96,32841275.290143616
Portfolio 1,97,0.0
Portfolio 1,98,5960573.837092887
Portfolio 1,99,0.0
Portfolio 1,100,10845671.861959005
Portfolio 1,101,19621352.982586756
Portfolio 1,102,0.0
Portfolio 1,103,0.0
Portfolio 1,104,15685099.488615744
Portfolio 1,105,17510906.764428075
Portfolio 1,106,0.0
Portfolio 1,107,0.0
Portfolio 1,108,0.0
Portfolio 1,109,0.0
Portfolio 1,110,0.0
Portfolio 1,111,36280276.9149361
Portfolio 1,112,0.0
Portfolio 1,113,0.0
Portfolio 1,114,0.0
Portfolio 1,115,5182259.577388579
Portfolio 1,116,0.0
Portfolio 1,117,0.0
Portfolio 1,118,14439093.40519818
Portfolio 1,119,0.0
Portfolio 1,120,11340343.460939737
Portfolio 1,121,0.0
Portfolio 1,122,18129894.48108268
Portfolio 1,123,0.0
Portfolio 1,124,20309721.507351644
Portfolio 1,125,0.0
Portfolio 1,126,0.0
Portfolio 1,127,11309064.767165601
Portfolio 1,128,0.0
Portfolio 1,129,0.0
Portfolio 1,130,5444546.850261398
Portfolio 1,131,52853007.7289256
Portfolio 1,132,11340343.460939737
Portfolio 1,133,0.0
Portfolio 1,134,0.0
Portfolio 1,135,3909670.548554421
Portfolio 1,136,0.0
Portfolio 1,137,19001654.487887815
Portfolio 1,138,31122994.76575891
Portfolio 1,139,0.0
Portfolio 1,140,13700731.972600108
Portfolio 1,141,0.0
Portfolio 1,142,0.0
Portfolio 1,143,34246391.63770839
Portfolio 1,144,0.0
Portfolio 1,145,10226225.494510083
Portfolio 1,146,0.0
Portfolio 1,147,0.0
Portfolio 1,148,13158355.870652435
Portfolio 1,149,0.0
Portfolio 1,150,0.0
Portfolio 1,151,0.0
Portfolio 1,152,0.0
Portfolio 1,153,28178742.773154184
Portfolio 1,154,0.0
Portfolio 1,155,0.0
Portfolio 1,156,18348763.9537526
Portfolio 1,157,0.0
Portfolio 1,158,30669262.63508051
Portfolio 1,159,21494114.49808991
Portfolio 1,160,0.0
Portfolio 1,161,19621352.982586756
Portfolio 1,162,0.0
Portfolio 1,163,0.0
Portfolio 1,164,0.0
Portfolio 1,165,0.0
Portfolio 1,166,0.0
Portfolio 1,167,0.0
Portfolio 1,168,0.0
Portfolio 1,169,0.0
Portfolio 1,170,20143794.38470134
Portfolio 1,171,0.0
Portfolio 1,172,0.0
Portfolio 1,173,14439093.40519818
Portfolio 1,174,0.0
Portfolio 1,175,0.0
Portfolio 1,176,15127461.929963065
Portfolio 1,177,32720853.739053495
Portfolio 1,178,0.0
Portfolio 1,179,0.0
Portfolio 1,180,0.0
Portfolio 1,181,0.0
Portfolio 1,182,14220223.93252826
Portfolio 1,183,0.0
Portfolio 1,184,0.0
Portfolio 1,185,14439093.40519818
Portfolio 1,186,37087599.85346181
Portfolio 1,187,0.0
Portfolio 1,188,2999238.710377632
Portfolio 1,189,16482402.097116277
Portfolio 1,190,5395283.542444266
Portfolio 1,191,8868899.02430052
Portfolio 1,192,10723682.894710481
Portfolio 1,193,0.0
Portfolio 1,194,27597449.275850616
Portfolio 1,195,0.0
Portfolio 1,196,0.0
Portfolio 1,197,0.0
Portfolio 1,198,0.0
Portfolio 1,199,0.0
