entity_code,EAD,booking_date
A-W20E3T,26938874.397447303,2025-05-07
A-ZL3UTG,31154443.006722443,2025-05-14
A-H8WKWS,36314076.04037352,2025-03-05
A-5CRVMF,14540527.40955621,2025-03-05
A-89F6D0,8875349.051019402,2025-03-26
A-SE4QSN,38461633.08329202,2025-06-18
A-7Y1UPH,10404808.080774983,2025-05-07
A-2NTLLF,11918344.378912384,2025-05-21
A-0E88G2,15196530.8745463,2025-09-24
A-GT87M2,23528697.39092006,2025-03-26
A-YDGV2G,35898894.811192736,2025-12-03
A-C36F0G,31619110.795545343,2025-10-01
A-UQSUBF,29785514.38449223,2025-03-05
A-RX0P71,11131319.874960128,2025-04-23
A-TR3J8L,22684002.97631515,2025-03-05
A-Y21HNQ,21744172.413033728,2025-04-09
A-VZS47E,10159908.371995503,2025-05-14
A-QIMT1V,22684002.97631515,2025-02-12
A-FVDXWD,15791662.138349548,2025-01-01
A-W69IIB,9454666.941516371,2025-06-11
A-ZVBDSW,24258389.216789015,2025-09-17
A-IJCFPR,29675986.878346752,2025-04-23
A-0172SR,7447607.101690142,2025-11-12
A-PNGYIK,21839308.56171024,2025-05-14
A-9XOOP3,32377391.834372822,2025-11-26
A-03PK8Q,31179654.51333564,2025-03-26
A-RSPF7A,33527558.367656395,2025-07-16
A-FKUFQE,20688422.160971247,2025-10-08
A-O7YD44,33719497.892395124,2025-01-22
A-DT5C43,13426357.492499432,2025-12-10
