entity_code,entity_name,size_bucket,EAD,portfolio,size_bucket_avg_EAD,EAD_original,EAD_filled,EAD_fill_note
A-0172SR,Company_A_45,Small,7447607.101690142,portfolio_1,23656758.80018653,7447607.101690142,7447607.101690142,original EAD available
A-5CRVMF,Company_A_33,Large,14540527.40955621,portfolio_1,26616888.34963844,14540527.40955621,14540527.40955621,original EAD available
A-7Y1UPH,Company_A_27,Small,10404808.080774983,portfolio_1,23656758.80018653,10404808.080774983,10404808.080774983,original EAD available
A-C36F0G,Company_A_25,Large,31619110.795545343,portfolio_1,26616888.34963844,31619110.795545343,31619110.795545343,original EAD available
A-DT5C43,Company_A_03,Large,13426357.492499432,portfolio_1,26616888.34963844,13426357.492499432,13426357.492499432,original EAD available
A-FKUFQE,Company_A_34,Small,20688422.160971247,portfolio_1,23656758.80018653,20688422.160971247,20688422.160971247,original EAD available
A-FVDXWD,Company_A_16,Small,15791662.138349548,portfolio_1,23656758.80018653,15791662.138349548,15791662.138349548,original EAD available
A-H8WKWS,Company_A_22,Small,36314076.04037352,portfolio_1,23656758.80018653,36314076.04037352,36314076.04037352,original EAD available
A-QIMT1V,Company_A_31,Mid,,portfolio_1,20597466.05875378,,20597466.05875378,EAD missing; filled by size_bucket average
A-TR3J8L,Company_A_19,Large,,portfolio_1,26616888.34963844,,26616888.34963844,EAD missing; filled by size_bucket average
A-UQSUBF,Company_A_08,Mid,29785514.38449223,portfolio_1,20597466.05875378,29785514.38449223,29785514.38449223,original EAD available
A-W20E3T,Company_A_38,Mid,26938874.397447303,portfolio_1,20597466.05875378,26938874.397447303,26938874.397447303,original EAD available
A-W69IIB,Company_A_21,Large,9454666.941516371,portfolio_1,26616888.34963844,9454666.941516371,9454666.941516371,original EAD available
A-Y21HNQ,Company_A_04,Mid,21744172.413033728,portfolio_1,20597466.05875378,21744172.413033728,21744172.413033728,original EAD available
A-YDGV2G,Company_A_17,Mid,35898894.811192736,portfolio_1,20597466.05875378,35898894.811192736,35898894.811192736,original EAD available
B-0T5M74,Company_B_21,Mid,34784899.20182575,portfolio_2,20597466.05875378,34784899.20182575,34784899.20182575,original EAD available
B-4Z0VCO,Company_B_34,Mid,9490264.047889208,portfolio_2,20597466.05875378,9490264.047889208,9490264.047889208,original EAD available
B-5BIIQF,Company_B_02,Mid,12968140.137972496,portfolio_2,20597466.05875378,12968140.137972496,12968140.137972496,original EAD available
B-6KZVQO,Company_B_32,Small,31598840.929525554,portfolio_2,23656758.80018653,31598840.929525554,31598840.929525554,original EAD available
B-9KROIO,Company_B_42,Small,26662073.341073405,portfolio_2,23656758.80018653,26662073.341073405,26662073.341073405,original EAD available
B-CKUMRG,Company_B_14,Large,35359823.88189043,portfolio_2,26616888.34963844,35359823.88189043,35359823.88189043,original EAD available
B-CUJ2V2,Company_B_38,Mid,32401684.59601034,portfolio_2,20597466.05875378,32401684.59601034,32401684.59601034,original EAD available
B-FVUAOK,Company_B_24,Mid,12382703.597104952,portfolio_2,20597466.05875378,12382703.597104952,12382703.597104952,original EAD available
B-HVWXAK,Company_B_37,Large,22600622.79431236,portfolio_2,26616888.34963844,22600622.79431236,22600622.79431236,original EAD available
B-IOC2XD,Company_B_28,Large,36960381.26215227,portfolio_2,26616888.34963844,36960381.26215227,36960381.26215227,original EAD available
B-J2ILS4,Company_B_13,Large,,portfolio_2,26616888.34963844,,26616888.34963844,EAD missing; filled by size_bucket average
B-JI444W,Company_B_20,Small,32329342.40816668,portfolio_2,23656758.80018653,32329342.40816668,32329342.40816668,original EAD available
B-JRBLOP,Company_B_43,Mid,31066982.473586395,portfolio_2,20597466.05875378,31066982.473586395,31066982.473586395,original EAD available
B-JS2LBB,Company_B_41,Mid,22684692.28025836,portfolio_2,20597466.05875378,22684692.28025836,22684692.28025836,original EAD available
B-KVE4NM,Company_B_22,Mid,6768759.60275202,portfolio_2,20597466.05875378,6768759.60275202,6768759.60275202,original EAD available
B-MHTAKQ,Company_B_35,,15703008.00584986,portfolio_2,,15703008.00584986,15703008.00584986,original EAD available
B-MUVZTX,Company_B_11,Mid,30493123.80112432,portfolio_2,20597466.05875378,30493123.80112432,30493123.80112432,original EAD available
B-O2NB6I,Company_B_30,Mid,34693326.39213783,portfolio_2,20597466.05875378,34693326.39213783,34693326.39213783,original EAD available
B-QF6194,Company_B_47,Mid,13341848.527672105,portfolio_2,20597466.05875378,13341848.527672105,13341848.527672105,original EAD available
B-SQ4OLC,Company_B_18,Small,35683734.8563096,portfolio_2,23656758.80018653,35683734.8563096,35683734.8563096,original EAD available
B-ST9KM6,Company_B_36,Mid,32541198.350750968,portfolio_2,20597466.05875378,32541198.350750968,32541198.350750968,original EAD available
B-TB1OZ6,Company_B_31,,23461017.052539565,portfolio_2,,23461017.052539565,23461017.052539565,original EAD available
B-TWSM8S,Company_B_12,Mid,9124536.531704089,portfolio_2,20597466.05875378,9124536.531704089,9124536.531704089,original EAD available
B-VQT2JW,Company_B_07,Mid,15074920.661685389,portfolio_2,20597466.05875378,15074920.661685389,15074920.661685389,original EAD available
B-WMAEKB,Company_B_27,,37108845.62431498,portfolio_2,,37108845.62431498,37108845.62431498,original EAD available
B-WWOGAM,Company_B_23,,31227350.15946521,portfolio_2,,31227350.15946521,31227350.15946521,original EAD available
B-Y6J2QG,Company_B_39,Large,25392552.226008814,portfolio_2,26616888.34963844,25392552.226008814,25392552.226008814,original EAD available
A-0172SR,Company_A_45,Small,24102940.00088122,portfolio_3,23656758.80018653,24102940.00088122,24102940.00088122,original EAD available
A-0E88G2,Company_A_43,Large,22471797.889777817,portfolio_3,26616888.34963844,22471797.889777817,22471797.889777817,original EAD available
A-DT5C43,Company_A_03,Large,31614758.98146161,portfolio_3,26616888.34963844,31614758.98146161,31614758.98146161,original EAD available
A-FVDXWD,Company_A_16,Small,21539459.41679,portfolio_3,23656758.80018653,21539459.41679,21539459.41679,original EAD available
A-OL6NCQ,Company_A_05,,13297172.694463212,portfolio_3,,13297172.694463212,13297172.694463212,original EAD available
A-PEJ45W,Company_A_49,Small,34041246.854371905,portfolio_3,23656758.80018653,34041246.854371905,34041246.854371905,original EAD available
A-TR3J8L,Company_A_19,Large,37478971.28580385,portfolio_3,26616888.34963844,37478971.28580385,37478971.28580385,original EAD available
A-Y21HNQ,Company_A_04,Mid,22213440.349451847,portfolio_3,20597466.05875378,22213440.349451847,22213440.349451847,original EAD available
B-0T5M74,Company_B_21,Mid,23503013.833790183,portfolio_3,20597466.05875378,23503013.833790183,23503013.833790183,original EAD available
B-3C5B0M,Company_B_49,Mid,10399909.38947166,portfolio_3,20597466.05875378,10399909.38947166,10399909.38947166,original EAD available
B-4H8VVL,Company_B_10,Small,13073769.386475025,portfolio_3,23656758.80018653,13073769.386475025,13073769.386475025,original EAD available
B-6KZVQO,Company_B_32,Small,19429050.87624263,portfolio_3,23656758.80018653,19429050.87624263,19429050.87624263,original EAD available
B-7PFB78,Company_B_40,Small,5019884.524063055,portfolio_3,23656758.80018653,5019884.524063055,5019884.524063055,original EAD available
B-9KROIO,Company_B_42,Small,30671325.49799425,portfolio_3,23656758.80018653,30671325.49799425,30671325.49799425,original EAD available
B-AAFB3V,Company_B_03,Small,27454646.40875233,portfolio_3,23656758.80018653,27454646.40875233,27454646.40875233,original EAD available
B-FVUAOK,Company_B_24,Mid,6125218.073099757,portfolio_3,20597466.05875378,6125218.073099757,6125218.073099757,original EAD available
B-GFVBLE,Company_B_45,Small,36702714.851999104,portfolio_3,23656758.80018653,36702714.851999104,36702714.851999104,original EAD available
B-I67BWI,Company_B_19,Mid,24949401.62579115,portfolio_3,20597466.05875378,24949401.62579115,24949401.62579115,original EAD available
B-IOC2XD,Company_B_28,Large,,portfolio_3,26616888.34963844,,26616888.34963844,EAD missing; filled by size_bucket average
B-J2ILS4,Company_B_13,Large,31923490.34543775,portfolio_3,26616888.34963844,31923490.34543775,31923490.34543775,original EAD available
B-JI444W,Company_B_20,Small,12592064.298202593,portfolio_3,23656758.80018653,12592064.298202593,12592064.298202593,original EAD available
B-JRBLOP,Company_B_43,Mid,16418342.675741987,portfolio_3,20597466.05875378,16418342.675741987,16418342.675741987,original EAD available
B-JS2LBB,Company_B_41,Mid,21391218.714301582,portfolio_3,20597466.05875378,21391218.714301582,21391218.714301582,original EAD available
B-KVE4NM,Company_B_22,Mid,8331563.841794094,portfolio_3,20597466.05875378,8331563.841794094,8331563.841794094,original EAD available
B-MUVZTX,Company_B_11,Mid,23049060.348269023,portfolio_3,20597466.05875378,23049060.348269023,23049060.348269023,original EAD available
B-O2NB6I,Company_B_30,Mid,7514761.7420182,portfolio_3,20597466.05875378,7514761.7420182,7514761.7420182,original EAD available
B-PL1YFZ,Company_B_16,Small,31587506.83072381,portfolio_3,23656758.80018653,31587506.83072381,31587506.83072381,original EAD available
B-QF30BG,Company_B_05,,22272730.31527194,portfolio_3,,22272730.31527194,22272730.31527194,original EAD available
B-QFZFP4,Company_B_17,Large,21855705.622211523,portfolio_3,26616888.34963844,21855705.622211523,21855705.622211523,original EAD available
B-TB1OZ6,Company_B_31,,,portfolio_3,,,,EAD missing; no size_bucket average available
B-TWSM8S,Company_B_12,Mid,20770176.226030856,portfolio_3,20597466.05875378,20770176.226030856,20770176.226030856,original EAD available
B-TZJXP7,Company_B_08,Mid,30813029.8054204,portfolio_3,20597466.05875378,30813029.8054204,30813029.8054204,original EAD available
B-VQT2JW,Company_B_07,Mid,10857774.987546274,portfolio_3,20597466.05875378,10857774.987546274,10857774.987546274,original EAD available
B-WMAEKB,Company_B_27,,26069893.72346353,portfolio_3,,26069893.72346353,26069893.72346353,original EAD available
B-WWOGAM,Company_B_23,,,portfolio_3,,,,EAD missing; no size_bucket average available
B-ZWRIDU,Company_B_46,Large,37937669.966764405,portfolio_3,26616888.34963844,37937669.966764405,37937669.966764405,original EAD available
