entity_code,entity_name,industry,lgd,portfolio,industry_avg_lgd,lgd_original,lgd_final,lgd_fill_note
A-0172SR,Company_A_45,A,0.4027117259847115,portfolio_1,0.45534220768146694,0.4027117259847115,0.4027117259847115,original lgd available
A-5CRVMF,Company_A_33,A,0.371051433725741,portfolio_1,0.45534220768146694,0.371051433725741,0.371051433725741,original lgd available
A-7Y1UPH,Company_A_27,A,0.523272203388481,portfolio_1,0.45534220768146694,0.523272203388481,0.523272203388481,original lgd available
A-C36F0G,Company_A_25,A,0.361436345436521,portfolio_1,0.45534220768146694,0.361436345436521,0.361436345436521,original lgd available
A-DT5C43,Company_A_03,A,0.4352110109163791,portfolio_1,0.45534220768146694,0.4352110109163791,0.4352110109163791,original lgd available
A-FKUFQE,Company_A_34,A,0.4286890007992836,portfolio_1,0.45534220768146694,0.4286890007992836,0.4286890007992836,original lgd available
A-FVDXWD,Company_A_16,A,0.4675997347177412,portfolio_1,0.45534220768146694,0.4675997347177412,0.4675997347177412,original lgd available
A-H8WKWS,Company_A_22,A,0.3976169843656488,portfolio_1,0.45534220768146694,0.3976169843656488,0.3976169843656488,original lgd available
A-QIMT1V,Company_A_31,A,0.6268833568473738,portfolio_1,0.45534220768146694,0.6268833568473738,0.6268833568473738,original lgd available
A-TR3J8L,Company_A_19,A,0.4010322560752153,portfolio_1,0.45534220768146694,0.4010322560752153,0.4010322560752153,original lgd available
A-UQSUBF,Company_A_08,A,0.3807335107445405,portfolio_1,0.45534220768146694,0.3807335107445405,0.3807335107445405,original lgd available
A-W20E3T,Company_A_38,A,0.5677193578394526,portfolio_1,0.45534220768146694,0.5677193578394526,0.5677193578394526,original lgd available
A-W69IIB,Company_A_21,A,0.6202775785948131,portfolio_1,0.45534220768146694,0.6202775785948131,0.6202775785948131,original lgd available
A-Y21HNQ,Company_A_04,A,0.483018608927679,portfolio_1,0.45534220768146694,0.483018608927679,0.483018608927679,original lgd available
A-YDGV2G,Company_A_17,A,0.4188152157475385,portfolio_1,0.45534220768146694,0.4188152157475385,0.4188152157475385,original lgd available
B-0T5M74,Company_B_21,B,0.5296418000808659,portfolio_2,0.49079839696722805,0.5296418000808659,0.5296418000808659,original lgd available
B-4Z0VCO,Company_B_34,B,0.6847825012956046,portfolio_2,0.49079839696722805,0.6847825012956046,0.6847825012956046,original lgd available
B-5BIIQF,Company_B_02,B,,portfolio_2,0.49079839696722805,,0.49079839696722805,lgd missing; filled by industry average
B-6KZVQO,Company_B_32,B,0.4810076158977743,portfolio_2,0.49079839696722805,0.4810076158977743,0.4810076158977743,original lgd available
B-9KROIO,Company_B_42,B,0.5701663648089567,portfolio_2,0.49079839696722805,0.5701663648089567,0.5701663648089567,original lgd available
B-CKUMRG,Company_B_14,B,0.3168593915784876,portfolio_2,0.49079839696722805,0.3168593915784876,0.3168593915784876,original lgd available
B-CUJ2V2,Company_B_38,B,0.5625085201248153,portfolio_2,0.49079839696722805,0.5625085201248153,0.5625085201248153,original lgd available
B-FVUAOK,Company_B_24,B,0.5189843392837443,portfolio_2,0.49079839696722805,0.5189843392837443,0.5189843392837443,original lgd available
B-HVWXAK,Company_B_37,B,0.5835807896314338,portfolio_2,0.49079839696722805,0.5835807896314338,0.5835807896314338,original lgd available
B-IOC2XD,Company_B_28,B,0.4363384716897764,portfolio_2,0.49079839696722805,0.4363384716897764,0.4363384716897764,original lgd available
B-J2ILS4,Company_B_13,B,0.5612485910550065,portfolio_2,0.49079839696722805,0.5612485910550065,0.5612485910550065,original lgd available
B-JI444W,Company_B_20,B,0.4746622431051985,portfolio_2,0.49079839696722805,0.4746622431051985,0.4746622431051985,original lgd available
B-JRBLOP,Company_B_43,B,0.397771971835267,portfolio_2,0.49079839696722805,0.397771971835267,0.397771971835267,original lgd available
B-JS2LBB,Company_B_41,B,0.4943045458786471,portfolio_2,0.49079839696722805,0.4943045458786471,0.4943045458786471,original lgd available
B-KVE4NM,Company_B_22,B,0.448622896022981,portfolio_2,0.49079839696722805,0.448622896022981,0.448622896022981,original lgd available
B-MHTAKQ,Company_B_35,B,0.6212518836831601,portfolio_2,0.49079839696722805,0.6212518836831601,0.6212518836831601,original lgd available
B-MUVZTX,Company_B_11,B,0.5619171116975393,portfolio_2,0.49079839696722805,0.5619171116975393,0.5619171116975393,original lgd available
B-O2NB6I,Company_B_30,B,0.4559347578430257,portfolio_2,0.49079839696722805,0.4559347578430257,0.4559347578430257,original lgd available
B-QF6194,Company_B_47,B,,portfolio_2,0.49079839696722805,,0.49079839696722805,lgd missing; filled by industry average
B-SQ4OLC,Company_B_18,B,0.5258228823322695,portfolio_2,0.49079839696722805,0.5258228823322695,0.5258228823322695,original lgd available
B-ST9KM6,Company_B_36,B,0.3384341660679322,portfolio_2,0.49079839696722805,0.3384341660679322,0.3384341660679322,original lgd available
B-TB1OZ6,Company_B_31,B,0.3959413947487566,portfolio_2,0.49079839696722805,0.3959413947487566,0.3959413947487566,original lgd available
B-TWSM8S,Company_B_12,B,0.5091520178173208,portfolio_2,0.49079839696722805,0.5091520178173208,0.5091520178173208,original lgd available
B-VQT2JW,Company_B_07,B,0.5361921853928844,portfolio_2,0.49079839696722805,0.5361921853928844,0.5361921853928844,original lgd available
B-WMAEKB,Company_B_27,B,0.4479411587144589,portfolio_2,0.49079839696722805,0.4479411587144589,0.4479411587144589,original lgd available
B-WWOGAM,Company_B_23,B,0.4840351692577983,portfolio_2,0.49079839696722805,0.4840351692577983,0.4840351692577983,original lgd available
B-Y6J2QG,Company_B_39,B,0.6498374440296733,portfolio_2,0.49079839696722805,0.6498374440296733,0.6498374440296733,original lgd available
A-0172SR,Company_A_45,A,0.4027117259847115,portfolio_3,0.45534220768146694,0.4027117259847115,0.4027117259847115,original lgd available
A-0E88G2,Company_A_43,A,0.5010027048718158,portfolio_3,0.45534220768146694,0.5010027048718158,0.5010027048718158,original lgd available
A-DT5C43,Company_A_03,A,0.4352110109163791,portfolio_3,0.45534220768146694,0.4352110109163791,0.4352110109163791,original lgd available
A-FVDXWD,Company_A_16,A,0.4675997347177412,portfolio_3,0.45534220768146694,0.4675997347177412,0.4675997347177412,original lgd available
A-OL6NCQ,Company_A_05,A,0.44088420338761,portfolio_3,0.45534220768146694,0.44088420338761,0.44088420338761,original lgd available
A-PEJ45W,Company_A_49,A,,portfolio_3,0.45534220768146694,,0.45534220768146694,lgd missing; filled by industry average
A-TR3J8L,Company_A_19,A,0.4010322560752153,portfolio_3,0.45534220768146694,0.4010322560752153,0.4010322560752153,original lgd available
A-Y21HNQ,Company_A_04,A,0.483018608927679,portfolio_3,0.45534220768146694,0.483018608927679,0.483018608927679,original lgd available
B-0T5M74,Company_B_21,B,0.5296418000808659,portfolio_3,0.49079839696722805,0.5296418000808659,0.5296418000808659,original lgd available
B-3C5B0M,Company_B_49,B,0.4443808041150874,portfolio_3,0.49079839696722805,0.4443808041150874,0.4443808041150874,original lgd available
B-4H8VVL,Company_B_10,B,0.4706808413351238,portfolio_3,0.49079839696722805,0.4706808413351238,0.4706808413351238,original lgd available
B-6KZVQO,Company_B_32,B,0.4810076158977743,portfolio_3,0.49079839696722805,0.4810076158977743,0.4810076158977743,original lgd available
B-7PFB78,Company_B_40,B,0.4217583666038554,portfolio_3,0.49079839696722805,0.4217583666038554,0.4217583666038554,original lgd available
B-9KROIO,Company_B_42,B,0.5701663648089567,portfolio_3,0.49079839696722805,0.5701663648089567,0.5701663648089567,original lgd available
B-AAFB3V,Company_B_03,B,0.3517814602557179,portfolio_3,0.49079839696722805,0.3517814602557179,0.3517814602557179,original lgd available
B-FVUAOK,Company_B_24,B,0.5189843392837443,portfolio_3,0.49079839696722805,0.5189843392837443,0.5189843392837443,original lgd available
B-GFVBLE,Company_B_45,B,0.515811908490511,portfolio_3,0.49079839696722805,0.515811908490511,0.515811908490511,original lgd available
B-I67BWI,Company_B_19,B,0.4461228682382256,portfolio_3,0.49079839696722805,0.4461228682382256,0.4461228682382256,original lgd available
B-IOC2XD,Company_B_28,B,0.4363384716897764,portfolio_3,0.49079839696722805,0.4363384716897764,0.4363384716897764,original lgd available
B-J2ILS4,Company_B_13,B,0.5612485910550065,portfolio_3,0.49079839696722805,0.5612485910550065,0.5612485910550065,original lgd available
B-JI444W,Company_B_20,B,0.4746622431051985,portfolio_3,0.49079839696722805,0.4746622431051985,0.4746622431051985,original lgd available
B-JRBLOP,Company_B_43,B,0.397771971835267,portfolio_3,0.49079839696722805,0.397771971835267,0.397771971835267,original lgd available
B-JS2LBB,Company_B_41,B,0.4943045458786471,portfolio_3,0.49079839696722805,0.4943045458786471,0.4943045458786471,original lgd available
B-KVE4NM,Company_B_22,B,0.448622896022981,portfolio_3,0.49079839696722805,0.448622896022981,0.448622896022981,original lgd available
B-MUVZTX,Company_B_11,B,0.5619171116975393,portfolio_3,0.49079839696722805,0.5619171116975393,0.5619171116975393,original lgd available
B-O2NB6I,Company_B_30,B,0.4559347578430257,portfolio_3,0.49079839696722805,0.4559347578430257,0.4559347578430257,original lgd available
B-PL1YFZ,Company_B_16,B,0.5099477473015739,portfolio_3,0.49079839696722805,0.5099477473015739,0.5099477473015739,original lgd available
B-QF30BG,Company_B_05,B,0.5803585019378602,portfolio_3,0.49079839696722805,0.5803585019378602,0.5803585019378602,original lgd available
B-QFZFP4,Company_B_17,B,0.4029850480348587,portfolio_3,0.49079839696722805,0.4029850480348587,0.4029850480348587,original lgd available
B-TB1OZ6,Company_B_31,B,0.3959413947487566,portfolio_3,0.49079839696722805,0.3959413947487566,0.3959413947487566,original lgd available
B-TWSM8S,Company_B_12,B,0.5091520178173208,portfolio_3,0.49079839696722805,0.5091520178173208,0.5091520178173208,original lgd available
B-TZJXP7,Company_B_08,B,0.4868862469796655,portfolio_3,0.49079839696722805,0.4868862469796655,0.4868862469796655,original lgd available
B-VQT2JW,Company_B_07,B,0.5361921853928844,portfolio_3,0.49079839696722805,0.5361921853928844,0.5361921853928844,original lgd available
B-WMAEKB,Company_B_27,B,0.4479411587144589,portfolio_3,0.49079839696722805,0.4479411587144589,0.4479411587144589,original lgd available
B-WWOGAM,Company_B_23,B,0.4840351692577983,portfolio_3,0.49079839696722805,0.4840351692577983,0.4840351692577983,original lgd available
B-ZWRIDU,Company_B_46,B,,portfolio_3,0.49079839696722805,,0.49079839696722805,lgd missing; filled by industry average
