portfolio,entity_code,entity_name,industry,rho,n_obs,reason
portfolio_1,A-0172SR,Company_A_45,A,,1,not enough valid observations
portfolio_1,A-5CRVMF,Company_A_33,A,0.39392512498527765,60,rho estimated successfully
portfolio_1,A-7Y1UPH,Company_A_27,A,0.5543227010440133,41,rho estimated successfully
portfolio_1,A-C36F0G,Company_A_25,A,0.5465076151292925,78,rho estimated successfully
portfolio_1,A-DT5C43,Company_A_03,A,0.5360990607171591,15,rho estimated successfully
portfolio_1,A-FKUFQE,Company_A_34,A,0.31479893110015666,33,rho estimated successfully
portfolio_1,A-FVDXWD,Company_A_16,A,0.4275625955549356,86,rho estimated successfully
portfolio_1,A-H8WKWS,Company_A_22,A,0.624550888092148,114,rho estimated successfully
portfolio_1,A-QIMT1V,Company_A_31,A,0.02691262041341671,8,rho estimated successfully
portfolio_1,A-TR3J8L,Company_A_19,A,0.5473081904828394,55,rho estimated successfully
portfolio_1,A-UQSUBF,Company_A_08,A,0.3726865313982926,56,rho estimated successfully
portfolio_1,A-W20E3T,Company_A_38,A,0.48683243170729007,40,rho estimated successfully
portfolio_1,A-W69IIB,Company_A_21,A,0.5806357547155633,13,rho estimated successfully
portfolio_1,A-Y21HNQ,Company_A_04,A,0.38697684593798914,28,rho estimated successfully
portfolio_1,A-YDGV2G,Company_A_17,A,0.44099599720369603,65,rho estimated successfully
portfolio_2,B-0T5M74,Company_B_21,B,0.6625943336422524,21,rho estimated successfully
portfolio_2,B-4Z0VCO,Company_B_34,B,0.5787636243400295,14,rho estimated successfully
portfolio_2,B-5BIIQF,Company_B_02,B,0.6322856114128557,30,rho estimated successfully
portfolio_2,B-6KZVQO,Company_B_32,B,0.6159273102343562,54,rho estimated successfully
portfolio_2,B-9KROIO,Company_B_42,B,0.44194742784942836,72,rho estimated successfully
portfolio_2,B-CKUMRG,Company_B_14,B,0.7341249036350953,40,rho estimated successfully
portfolio_2,B-CUJ2V2,Company_B_38,B,0.7596065990799996,15,rho estimated successfully
portfolio_2,B-FVUAOK,Company_B_24,B,0.5562463664724706,61,rho estimated successfully
portfolio_2,B-HVWXAK,Company_B_37,B,0.27221560566398134,30,rho estimated successfully
portfolio_2,B-IOC2XD,Company_B_28,B,0.46259169974249514,79,rho estimated successfully
portfolio_2,B-J2ILS4,Company_B_13,B,0.8338531393503555,22,rho estimated successfully
portfolio_2,B-JI444W,Company_B_20,B,0.6397939767858878,38,rho estimated successfully
