date,entity_code,stock_return,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,industry_return
2023-01-02,A-0172SR,-0.0014008772972524,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,
2023-01-03,A-0172SR,-0.0023967449303788,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0144964573318064
2023-01-05,A-0172SR,0.024940377702659,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0103556487476927
2023-01-06,A-0172SR,-0.0229207241712958,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0118285089491946
2023-01-08,A-0172SR,-0.009326605374612,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0052657749862578
2023-01-09,A-0172SR,-0.0041981834479365,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0045959952038005
2023-01-11,A-0172SR,0.0382229855516948,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0119622904600618
2023-01-12,A-0172SR,0.0244356456764832,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,
2023-02-01,A-0172SR,,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.000863367343038
2023-02-02,A-0172SR,0.013821608101562,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,7.764661249944643e-05
2023-02-03,A-0172SR,0.0459035612003673,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0344892610776783
2023-02-05,A-0172SR,0.0116351565338551,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0153093781920168
2023-02-06,A-0172SR,-0.0110311030198818,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0004080155498156
2023-02-08,A-0172SR,,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0128853670306057
2023-02-10,A-0172SR,-0.0062964559773978,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0040878830752657
2023-02-11,A-0172SR,-0.0186430915991121,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0081706864791556
2023-03-01,A-0172SR,0.0126222341649319,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,
2023-03-02,A-0172SR,0.0348083369037462,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0021115734059556
