entity_code,EAD,booking_date,internal_comment
B-CUJ2V2,32401684.59601034,2025-10-22T00:00:00.000000000,review
B-FVUAOK,12382703.597104952,2025-04-02T00:00:00.000000000,review
B-WMAEKB,37108845.62431498,2025-10-15T00:00:00.000000000,
B-0T5M74,34784899.20182575,2025-10-01T00:00:00.000000000,check formatting
B-O2NB6I,34693326.39213783,2025-04-16T00:00:00.000000000,new
B-5BIIQF,12968140.137972496,2025-09-03T00:00:00.000000000,legacy
B-KVE4NM,6768759.60275202,2025-04-02T00:00:00.000000000,review
B-CKUMRG,35359823.88189043,2025-07-09T00:00:00.000000000,
B-MHTAKQ,15703008.00584986,2025-10-22T00:00:00.000000000,
B-9KROIO,26662073.341073405,2025-03-05T00:00:00.000000000,legacy
B-6KZVQO,31598840.929525554,2025-04-30T00:00:00.000000000,
B-4Z0VCO,9490264.047889208,2025-10-22T00:00:00.000000000,check formatting
B-JI444W,32329342.40816668,2025-06-18T00:00:00.000000000,review
B-91X6SZ,,2025-12-17T00:00:00.000000000,check formatting
B-MUVZTX,30493123.80112432,2025-01-01T00:00:00.000000000,
B-J2ILS4,,2025-09-24T00:00:00.000000000,legacy
B-SQ4OLC,35683734.8563096,2025-10-29T00:00:00.000000000,legacy
B-TB1OZ6,23461017.052539565,2025-12-03T00:00:00.000000000,
B-JRBLOP,31066982.473586395,2025-02-26T00:00:00.000000000,legacy
B-CWABH5,33717708.035051145,2025-12-31T00:00:00.000000000,legacy
B-WWOGAM,31227350.15946521,2025-05-21T00:00:00.000000000,legacy
B-VQT2JW,15074920.661685389,2025-05-07T00:00:00.000000000,
B-TWSM8S,9124536.531704089,2025-05-07T00:00:00.000000000,legacy
B-QF6194,13341848.527672105,2025-08-20T00:00:00.000000000,
B-HVWXAK,22600622.79431236,2025-08-27T00:00:00.000000000,
B-JS2LBB,22684692.280258358,2025-06-25T00:00:00.000000000,check formatting
B-Y6J2QG,25392552.226008814,2025-01-22T00:00:00.000000000,check formatting
B-3C5B0M,18828564.31417618,2025-12-31T00:00:00.000000000,
B-ST9KM6,32541198.350750968,2025-03-19T00:00:00.000000000,review
B-IOC2XD,36960381.26215227,2025-01-29T00:00:00.000000000,legacy
B-WMAEKB,37108845.62431498,2025-10-15T00:00:00.000000000,
