entity_code,entity_name,size_bucket,EAD,portfolio,size_bucket_avg_EAD,EAD_original,EAD_filled,EAD_fill_note
B-0T5M74,Company_B_21,Mid,34784899.20182575,portfolio_2,20597466.05875378,34784899.20182575,34784899.20182575,original EAD available
B-4Z0VCO,Company_B_34,Mid,9490264.047889208,portfolio_2,20597466.05875378,9490264.047889208,9490264.047889208,original EAD available
B-5BIIQF,Company_B_02,Mid,12968140.137972496,portfolio_2,20597466.05875378,12968140.137972496,12968140.137972496,original EAD available
B-6KZVQO,Company_B_32,Small,31598840.929525554,portfolio_2,23656758.80018653,31598840.929525554,31598840.929525554,original EAD available
B-9KROIO,Company_B_42,Small,26662073.341073405,portfolio_2,23656758.80018653,26662073.341073405,26662073.341073405,original EAD available
B-CKUMRG,Company_B_14,Large,35359823.88189043,portfolio_2,26616888.34963844,35359823.88189043,35359823.88189043,original EAD available
B-CUJ2V2,Company_B_38,Mid,32401684.59601034,portfolio_2,20597466.05875378,32401684.59601034,32401684.59601034,original EAD available
B-FVUAOK,Company_B_24,Mid,12382703.597104952,portfolio_2,20597466.05875378,12382703.597104952,12382703.597104952,original EAD available
B-HVWXAK,Company_B_37,Large,22600622.79431236,portfolio_2,26616888.34963844,22600622.79431236,22600622.79431236,original EAD available
B-IOC2XD,Company_B_28,Large,36960381.26215227,portfolio_2,26616888.34963844,36960381.26215227,36960381.26215227,original EAD available
B-J2ILS4,Company_B_13,Large,,portfolio_2,26616888.34963844,,26616888.34963844,EAD missing; filled by size_bucket average
B-JI444W,Company_B_20,Small,32329342.40816668,portfolio_2,23656758.80018653,32329342.40816668,32329342.40816668,original EAD available
B-JRBLOP,Company_B_43,Mid,31066982.473586395,portfolio_2,20597466.05875378,31066982.473586395,31066982.473586395,original EAD available
B-JS2LBB,Company_B_41,Mid,22684692.28025836,portfolio_2,20597466.05875378,22684692.28025836,22684692.28025836,original EAD available
B-KVE4NM,Company_B_22,Mid,6768759.60275202,portfolio_2,20597466.05875378,6768759.60275202,6768759.60275202,original EAD available
B-MHTAKQ,Company_B_35,,15703008.00584986,portfolio_2,,15703008.00584986,15703008.00584986,original EAD available
B-MUVZTX,Company_B_11,Mid,30493123.80112432,portfolio_2,20597466.05875378,30493123.80112432,30493123.80112432,original EAD available
B-O2NB6I,Company_B_30,Mid,34693326.39213783,portfolio_2,20597466.05875378,34693326.39213783,34693326.39213783,original EAD available
B-QF6194,Company_B_47,Mid,13341848.527672105,portfolio_2,20597466.05875378,13341848.527672105,13341848.527672105,original EAD available
B-SQ4OLC,Company_B_18,Small,35683734.8563096,portfolio_2,23656758.80018653,35683734.8563096,35683734.8563096,original EAD available
B-ST9KM6,Company_B_36,Mid,32541198.350750968,portfolio_2,20597466.05875378,32541198.350750968,32541198.350750968,original EAD available
B-TB1OZ6,Company_B_31,,23461017.052539565,portfolio_2,,23461017.052539565,23461017.052539565,original EAD available
B-TWSM8S,Company_B_12,Mid,9124536.531704089,portfolio_2,20597466.05875378,9124536.531704089,9124536.531704089,original EAD available
B-VQT2JW,Company_B_07,Mid,15074920.661685389,portfolio_2,20597466.05875378,15074920.661685389,15074920.661685389,original EAD available
B-WMAEKB,Company_B_27,,37108845.62431498,portfolio_2,,37108845.62431498,37108845.62431498,original EAD available
B-WWOGAM,Company_B_23,,31227350.15946521,portfolio_2,,31227350.15946521,31227350.15946521,original EAD available
B-Y6J2QG,Company_B_39,Large,25392552.226008814,portfolio_2,26616888.34963844,25392552.226008814,25392552.226008814,original EAD available
