entity_code,entity_name,industry,lgd,portfolio,industry_avg_lgd,lgd_original,lgd_final,lgd_fill_note
B-0T5M74,Company_B_21,B,0.5296418000808659,portfolio_2,0.49079839696722805,0.5296418000808659,0.5296418000808659,original lgd available
B-4Z0VCO,Company_B_34,B,0.6847825012956046,portfolio_2,0.49079839696722805,0.6847825012956046,0.6847825012956046,original lgd available
B-5BIIQF,Company_B_02,B,,portfolio_2,0.49079839696722805,,0.49079839696722805,lgd missing; filled by industry average
B-6KZVQO,Company_B_32,B,0.4810076158977743,portfolio_2,0.49079839696722805,0.4810076158977743,0.4810076158977743,original lgd available
B-9KROIO,Company_B_42,B,0.5701663648089567,portfolio_2,0.49079839696722805,0.5701663648089567,0.5701663648089567,original lgd available
B-CKUMRG,Company_B_14,B,0.3168593915784876,portfolio_2,0.49079839696722805,0.3168593915784876,0.3168593915784876,original lgd available
B-CUJ2V2,Company_B_38,B,0.5625085201248153,portfolio_2,0.49079839696722805,0.5625085201248153,0.5625085201248153,original lgd available
B-FVUAOK,Company_B_24,B,0.5189843392837443,portfolio_2,0.49079839696722805,0.5189843392837443,0.5189843392837443,original lgd available
B-HVWXAK,Company_B_37,B,0.5835807896314338,portfolio_2,0.49079839696722805,0.5835807896314338,0.5835807896314338,original lgd available
B-IOC2XD,Company_B_28,B,0.4363384716897764,portfolio_2,0.49079839696722805,0.4363384716897764,0.4363384716897764,original lgd available
B-J2ILS4,Company_B_13,B,0.5612485910550065,portfolio_2,0.49079839696722805,0.5612485910550065,0.5612485910550065,original lgd available
B-JI444W,Company_B_20,B,0.4746622431051985,portfolio_2,0.49079839696722805,0.4746622431051985,0.4746622431051985,original lgd available
B-JRBLOP,Company_B_43,B,0.397771971835267,portfolio_2,0.49079839696722805,0.397771971835267,0.397771971835267,original lgd available
B-JS2LBB,Company_B_41,B,0.4943045458786471,portfolio_2,0.49079839696722805,0.4943045458786471,0.4943045458786471,original lgd available
B-KVE4NM,Company_B_22,B,0.448622896022981,portfolio_2,0.49079839696722805,0.448622896022981,0.448622896022981,original lgd available
B-MHTAKQ,Company_B_35,B,0.6212518836831601,portfolio_2,0.49079839696722805,0.6212518836831601,0.6212518836831601,original lgd available
B-MUVZTX,Company_B_11,B,0.5619171116975393,portfolio_2,0.49079839696722805,0.5619171116975393,0.5619171116975393,original lgd available
B-O2NB6I,Company_B_30,B,0.4559347578430257,portfolio_2,0.49079839696722805,0.4559347578430257,0.4559347578430257,original lgd available
B-QF6194,Company_B_47,B,,portfolio_2,0.49079839696722805,,0.49079839696722805,lgd missing; filled by industry average
B-SQ4OLC,Company_B_18,B,0.5258228823322695,portfolio_2,0.49079839696722805,0.5258228823322695,0.5258228823322695,original lgd available
B-ST9KM6,Company_B_36,B,0.3384341660679322,portfolio_2,0.49079839696722805,0.3384341660679322,0.3384341660679322,original lgd available
B-TB1OZ6,Company_B_31,B,0.3959413947487566,portfolio_2,0.49079839696722805,0.3959413947487566,0.3959413947487566,original lgd available
B-TWSM8S,Company_B_12,B,0.5091520178173208,portfolio_2,0.49079839696722805,0.5091520178173208,0.5091520178173208,original lgd available
B-VQT2JW,Company_B_07,B,0.5361921853928844,portfolio_2,0.49079839696722805,0.5361921853928844,0.5361921853928844,original lgd available
B-WMAEKB,Company_B_27,B,0.4479411587144589,portfolio_2,0.49079839696722805,0.4479411587144589,0.4479411587144589,original lgd available
B-WWOGAM,Company_B_23,B,0.4840351692577983,portfolio_2,0.49079839696722805,0.4840351692577983,0.4840351692577983,original lgd available
B-Y6J2QG,Company_B_39,B,0.6498374440296733,portfolio_2,0.49079839696722805,0.6498374440296733,0.6498374440296733,original lgd available
