entity_code,entity_name,industry,EAD,EAD_fill_note,base_pd_hint,base_pd_hint_note,rho_final,n_obs,reason,lgd,lgd_fill_note,threshold
A-0172SR,Company_A_45,A,24102940.00088122,original EAD available,0.0229545316139667,original base_pd_hint available,0.4562403574705861,18,rho estimated successfully,0.4027117259847115,original lgd available,-1.9962284391998402
A-0E88G2,Company_A_43,A,22471797.889777817,original EAD available,0.0165053478571062,original base_pd_hint available,0.4276444206936259,52,rho estimated successfully,0.5010027048718158,original lgd available,-2.131953180142656
A-DT5C43,Company_A_03,A,31614758.98146161,original EAD available,0.0165953522779802,original base_pd_hint available,0.5452204353267218,43,rho estimated successfully,0.4352110109163791,original lgd available,-2.129768814123962
A-FVDXWD,Company_A_16,A,21539459.41679,original EAD available,0.0267959378762021,original base_pd_hint available,0.4234094655556998,9,rho estimated successfully,0.4675997347177412,original lgd available,-1.9301207680376407
A-OL6NCQ,Company_A_05,A,13297172.694463212,original EAD available,0.0157992176151873,original base_pd_hint available,0.3161560876925229,44,rho estimated successfully,0.44088420338761,original lgd available,-2.149453918611126
A-PEJ45W,Company_A_49,A,34041246.854371905,original EAD available,0.0177115028452158,original base_pd_hint available,0.4793450457882803,67,rho estimated successfully,0.4553422076814669,lgd missing; filled by industry average,-2.1034894598680136
A-TR3J8L,Company_A_19,A,37478971.28580385,original EAD available,0.019296045567918,original base_pd_hint available,0.5329227111908909,15,rho estimated successfully,0.4010322560752153,original lgd available,-2.0685100012817834
A-Y21HNQ,Company_A_04,A,22213440.349451847,original EAD available,0.0221541050150394,original base_pd_hint available,0.3200496512111395,65,rho estimated successfully,0.483018608927679,original lgd available,-2.0111633076993476
B-0T5M74,Company_B_21,B,23503013.833790183,original EAD available,0.0492455131191174,original base_pd_hint available,0.6625943336422524,21,rho estimated successfully,0.5296418000808659,original lgd available,-1.6522135447167667
B-3C5B0M,Company_B_49,B,10399909.38947166,original EAD available,0.0260411132965198,original base_pd_hint available,0.4603090885753394,57,rho estimated successfully,0.4443808041150874,original lgd available,-1.94245347851876
B-4H8VVL,Company_B_10,B,13073769.386475025,original EAD available,0.0485606181370066,original base_pd_hint available,0.5695935591829456,3,not enough valid observations; rho filled by global industry average,0.4706808413351238,original lgd available,-1.6589729842970073
B-6KZVQO,Company_B_32,B,19429050.87624263,original EAD available,0.027206283706547,original base_pd_hint available,0.6203024155378187,63,rho estimated successfully,0.4810076158977743,original lgd available,-1.9235376136937639
B-7PFB78,Company_B_40,B,5019884.524063055,original EAD available,0.0187575079132969,original base_pd_hint available,0.4908027896529959,52,rho estimated successfully,0.4217583666038554,original lgd available,-2.080114675651997
B-9KROIO,Company_B_42,B,30671325.49799425,original EAD available,0.0277544532017155,original base_pd_hint available,0.2213059282777691,8,rho estimated successfully,0.5701663648089567,original lgd available,-1.914871396718424
B-AAFB3V,Company_B_03,B,27454646.40875233,original EAD available,0.0186646871610618,original base_pd_hint available,0.3052673238051904,12,rho estimated successfully,0.3517814602557179,original lgd available,-2.082143389350097
B-FVUAOK,Company_B_24,B,6125218.073099757,original EAD available,0.0248162426031954,original base_pd_hint available,0.572517608710895,46,rho estimated successfully,0.5189843392837443,original lgd available,-1.9631178215918839
B-GFVBLE,Company_B_45,B,36702714.851999104,original EAD available,0.0404443717235944,original base_pd_hint available,0.5881470692844544,45,rho estimated successfully,0.515811908490511,original lgd available,-1.7455524929726691
B-I67BWI,Company_B_19,B,24949401.62579115,original EAD available,0.0430346886251349,original base_pd_hint available,0.5695935591829456,3,not enough valid observations; rho filled by global industry average,0.4461228682382256,original lgd available,-1.7165065113021079
